group,N,invalid,root_at_3,risk_any,risk_all,compression,calls_per_case,total_tokens_per_case,runtime_sec_per_case
domain=bgb,24,0.0,0.7083333333333334,0.9166666666666666,0.5,0.5032996632996632,14.791666666666666,79009.79166666667,308.2484233677387
domain=cuad,80,0.0,0.8125,0.9875,0.65,0.5206204481792718,19.3,109043.6,385.4998358160257
domain=debian,16,0.0,0.75,1.0,0.8125,0.5227272727272727,10.625,39464.9375,189.28201200067997
domain=sec_ex21,40,0.0,1.0,0.925,0.725,0.5101010101010102,11.025,34274.075,213.531321901083
model=gemini-2.5-pro,80,0.0,0.8875,1.0,0.8875,0.5156662846956965,14.8875,98075.075,446.7939922183752
model=gemini-2.5-pro|domain=bgb,12,0.0,1.0,1.0,1.0,0.5032996632996632,14.583333333333334,107026.91666666667,481.25286736090976
model=gemini-2.5-pro|domain=cuad,40,0.0,0.825,1.0,0.85,0.5206204481792718,17.9,128005.025,513.361849141121
model=gemini-2.5-pro|domain=debian,8,0.0,0.75,1.0,0.875,0.5227272727272727,10.5,54696.0,304.4674016237259
model=gemini-2.5-pro|domain=sec_ex21,20,0.0,1.0,1.0,0.9,0.5103535353535353,10.8,50195.7,349.9135895252228
model=gpt-4o,80,0.0,0.7875,0.925,0.4375,0.5155400220694338,16.4875,59701.4875,175.80243395864963
model=gpt-4o|domain=bgb,12,0.0,0.4166666666666667,0.8333333333333334,0.0,0.5032996632996632,15.0,50992.666666666664,135.24397937456766
model=gpt-4o|domain=cuad,40,0.0,0.8,0.975,0.45,0.5206204481792718,20.7,90082.175,257.63782249093055
model=gpt-4o|domain=debian,8,0.0,0.75,1.0,0.75,0.5227272727272727,10.75,24233.875,74.09662237763405
model=gpt-4o|domain=sec_ex21,20,0.0,1.0,0.85,0.55,0.5098484848484849,11.25,18352.45,77.1490542769432
overall,160,0.0,0.8375,0.9625,0.6625,0.5156031533825651,15.6875,78888.28125,311.2982130885124
scale=large,40,0.0,0.85,1.0,0.55,0.529358543417367,25.575,136771.1,471.6043332576752
scale=medium,44,0.0,0.7272727272727273,0.9772727272727273,0.6136363636363636,0.5144385026737969,15.840909090909092,92857.81818181818,347.67236214334315
scale=small,76,0.0,0.8947368421052632,0.9342105263157895,0.75,0.5090377458798511,10.394736842105264,40336.01315789474,205.86785302036688
template=condition_trigger,40,0.0,0.85,0.925,0.6,0.5173708301502419,15.6,76541.5,295.7263413906097
template=direct_mutex,40,0.0,0.825,0.975,0.75,0.51535062813004,15.675,77080.175,307.6981182873249
template=handoff_invariant,40,0.0,0.875,0.975,0.65,0.5162344665138783,15.9,84682.85,342.8030040562153
template=temporal_gate,40,0.0,0.8,0.975,0.65,0.5134566887361005,15.575,77248.6,298.9653886198997
