subset,case_order,case_id,domain,scc_id,scc_size,template
extra_long20,21,21_cuad34_scc_11_condition_trigger,cuad,scc_11,34,cuad_condition_trigger_unconfirmed_exception_critical
extra_long20,22,22_cuad34_scc_11_handoff_invariant,cuad,scc_11,34,cuad_handoff_invariant_payment_status_critical
extra_long20,23,23_cuad34_scc_11_temporal_gate,cuad,scc_11,34,cuad_temporal_notice_receipt_gate_critical
extra_long20,24,24_cuad28_scc_39_condition_trigger,cuad,scc_39,28,cuad_condition_trigger_unconfirmed_exception_critical
extra_long20,25,25_cuad28_scc_39_handoff_invariant,cuad,scc_39,28,cuad_handoff_invariant_payment_status_critical
extra_long20,26,26_cuad28_scc_39_temporal_gate,cuad,scc_39,28,cuad_temporal_notice_receipt_gate_critical
extra_long20,27,27_bgb25_scc_3_condition_trigger,bgb,scc_3,25,bgb_condition_trigger_pending_notice_critical
extra_long20,28,28_bgb25_scc_3_handoff_invariant,bgb,scc_3,25,bgb_handoff_invariant_cure_class_critical
extra_long20,29,29_bgb25_scc_3_temporal_gate,bgb,scc_3,25,bgb_temporal_grace_period_gate_critical
extra_long20,30,30_cuad25_scc_17_condition_trigger,cuad,scc_17,25,cuad_condition_trigger_unconfirmed_exception_critical
extra_long20,31,31_cuad25_scc_17_handoff_invariant,cuad,scc_17,25,cuad_handoff_invariant_payment_status_critical
extra_long20,32,32_cuad25_scc_17_temporal_gate,cuad,scc_17,25,cuad_temporal_notice_receipt_gate_critical
extra_long20,33,33_cuad24_scc_21_condition_trigger,cuad,scc_21,24,cuad_condition_trigger_unconfirmed_exception_critical
extra_long20,34,34_cuad24_scc_21_handoff_invariant,cuad,scc_21,24,cuad_handoff_invariant_payment_status_critical
extra_long20,35,35_cuad24_scc_21_temporal_gate,cuad,scc_21,24,cuad_temporal_notice_receipt_gate_critical
extra_long20,36,36_cuad20_scc_28_condition_trigger,cuad,scc_28,20,cuad_condition_trigger_unconfirmed_exception_critical
extra_long20,37,37_cuad20_scc_28_handoff_invariant,cuad,scc_28,20,cuad_handoff_invariant_payment_status_critical
extra_long20,38,38_cuad20_scc_28_temporal_gate,cuad,scc_28,20,cuad_temporal_notice_receipt_gate_critical
extra_long20,39,39_sec_ex2118_scc_1_handoff_invariant,sec_ex21,scc_1,18,sec_handoff_invariant_control_basis_critical
extra_long20,40,40_sec_ex2118_scc_7_temporal_gate,sec_ex21,scc_7,18,sec_temporal_quarter_close_gate_critical
main20,1,01_cuad34_scc_11_direct_mutex,cuad,scc_11,34,cuad_direct_no_fee_vs_fee_critical
main20,2,02_cuad28_scc_39_direct_mutex,cuad,scc_39,28,cuad_direct_no_fee_vs_fee_critical
main20,3,03_bgb25_scc_3_direct_mutex,bgb,scc_3,25,bgb_direct_timely_cure_vs_extra_charge_critical
main20,4,04_cuad25_scc_17_direct_mutex,cuad,scc_17,25,cuad_direct_no_fee_vs_fee_critical
main20,5,05_cuad24_scc_21_direct_mutex,cuad,scc_21,24,cuad_direct_no_fee_vs_fee_critical
main20,6,06_cuad20_scc_28_direct_mutex,cuad,scc_28,20,cuad_direct_no_fee_vs_fee_critical
main20,7,07_cuad18_scc_6_direct_mutex,cuad,scc_6,18,cuad_direct_no_fee_vs_fee_critical
main20,8,08_sec_ex2118_scc_3_direct_mutex,sec_ex21,scc_3,18,sec_direct_full_consolidation_vs_retained_interest_critical
main20,9,09_cuad17_scc_0_direct_mutex,cuad,scc_0,17,cuad_direct_no_fee_vs_fee_critical
main20,10,10_cuad16_scc_23_direct_mutex,cuad,scc_23,16,cuad_direct_no_fee_vs_fee_critical
main20,11,11_cuad14_scc_8_direct_mutex,cuad,scc_8,14,cuad_direct_no_fee_vs_fee_critical
main20,12,12_cuad12_scc_50_direct_mutex,cuad,scc_50,12,cuad_direct_no_fee_vs_fee_critical
main20,13,13_debian12_scc_8_direct_mutex,debian,scc_8,12,debian_direct_legacy_vs_new_abi_critical
main20,14,14_sec_ex2112_scc_2_direct_mutex,sec_ex21,scc_2,12,sec_direct_full_consolidation_vs_retained_interest_critical
main20,15,15_bgb11_scc_0_direct_mutex,bgb,scc_0,11,bgb_direct_timely_cure_vs_extra_charge_critical
main20,16,16_debian11_scc_23_direct_mutex,debian,scc_23,11,debian_direct_legacy_vs_new_abi_critical
main20,17,17_sec_ex2111_scc_3_direct_mutex,sec_ex21,scc_3,11,sec_direct_full_consolidation_vs_retained_interest_critical
main20,18,18_sec_ex2110_scc_7_direct_mutex,sec_ex21,scc_7,10,sec_direct_full_consolidation_vs_retained_interest_critical
main20,19,19_bgb9_scc_7_direct_mutex,bgb,scc_7,9,bgb_direct_timely_cure_vs_extra_charge_critical
main20,20,20_sec_ex219_scc_5_direct_mutex,sec_ex21,scc_5,9,sec_direct_full_consolidation_vs_retained_interest_critical
