SCC size,Variant,N,Root@3,Risk-any,Risk-all,Compression,Delta Root@3,Delta Risk-any,Delta Risk-all,Delta Compression
9,Full SA-MCGS (locked main),8,0.875,1.0,0.875,0.4444444444444444,0.0,0.0,0.0,0.0
9,No relation-first memory,8,1.0,1.0,0.875,0.47664141414141414,0.125,0.0,0.0,0.032196969696969724
9,No critical-pair ledger/revisit,8,0.75,0.875,0.5,0.6313131313131314,-0.125,-0.125,-0.375,0.18686868686868696
9,Random local-window selection,8,1.0,1.0,0.875,0.47664141414141414,0.125,0.0,0.0,0.032196969696969724
10,Full SA-MCGS (locked main),4,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0
10,No relation-first memory,4,1.0,1.0,0.75,0.5454545454545454,0.0,0.0,0.75,0.045454545454545414
10,No critical-pair ledger/revisit,4,1.0,1.0,1.0,0.6818181818181819,0.0,0.0,1.0,0.18181818181818188
10,Random local-window selection,4,1.0,1.0,0.25,0.5454545454545454,0.0,0.0,0.25,0.045454545454545414
11,Full SA-MCGS (locked main),12,0.9166666666666666,1.0,0.9166666666666666,0.5454545454545454,0.0,0.0,0.0,0.0
11,No relation-first memory,12,0.8333333333333334,1.0,0.8333333333333334,0.5340909090909091,-0.08333333333333326,0.0,-0.08333333333333326,-0.011363636363636354
11,No critical-pair ledger/revisit,12,0.8333333333333334,0.9166666666666666,0.5833333333333334,0.6640151515151514,-0.08333333333333326,-0.08333333333333337,-0.33333333333333326,0.11856060606060603
11,Random local-window selection,12,0.9166666666666666,1.0,0.75,0.5340909090909091,0.0,0.0,-0.16666666666666663,-0.011363636363636354
12,Full SA-MCGS (locked main),12,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0
12,No relation-first memory,12,1.0,1.0,0.9166666666666666,0.5075757575757576,0.0,0.0,-0.08333333333333337,0.007575757575757569
12,No critical-pair ledger/revisit,12,1.0,1.0,0.8333333333333334,0.7323232323232324,0.0,0.0,-0.16666666666666663,0.23232323232323238
12,Random local-window selection,12,1.0,1.0,0.8333333333333334,0.5075757575757576,0.0,0.0,-0.16666666666666663,0.007575757575757569
14,Full SA-MCGS (locked main),4,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0
14,No relation-first memory,4,1.0,1.0,0.75,0.5,0.0,0.0,0.25,0.0
14,No critical-pair ledger/revisit,4,1.0,1.0,1.0,0.6964285714285714,0.0,0.0,0.5,0.1964285714285714
14,Random local-window selection,4,1.0,1.0,0.75,0.5,0.0,0.0,0.25,0.0
16,Full SA-MCGS (locked main),4,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0
16,No relation-first memory,4,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0
16,No critical-pair ledger/revisit,4,1.0,1.0,1.0,0.703125,0.0,0.0,0.0,0.203125
16,Random local-window selection,4,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0
17,Full SA-MCGS (locked main),4,0.0,1.0,0.5,0.5294117647058824,0.0,0.0,0.0,0.0
17,No relation-first memory,4,0.25,1.0,1.0,0.5294117647058824,0.25,0.0,0.5,0.0
17,No critical-pair ledger/revisit,4,0.0,1.0,0.0,0.6470588235294117,0.0,0.0,-0.5,0.11764705882352933
17,Random local-window selection,4,0.25,0.75,0.25,0.5294117647058824,0.25,-0.25,-0.25,0.0
