SCC bin,Variant,N,Invalid,Root@3,Risk-any,Risk-all,Compression,Avg core size,Delta Root@3,Delta Risk-any,Delta Risk-all,Delta Compression,Delta Avg core size,Avg LLM calls,Avg tokens,Avg runtime sec
small (9-11),Full SA-MCGS (locked main),24,0.0,0.9166666666666666,1.0,0.75,0.5042087542087542,5.0,0.0,0.0,0.0,0.0,0.0,nan,nan,184.8125183482965
small (9-11),No relation-first memory,24,0.0,0.9166666666666666,1.0,0.8333333333333334,0.5168350168350168,5.208333333333333,0.0,0.0,0.08333333333333337,0.012626262626262541,0.20833333333333304,56.708333333333336,123052.95833333333,129.78414623936018
small (9-11),No critical-pair ledger/revisit,24,0.0,0.8333333333333334,0.9166666666666666,0.625,0.6560816498316498,3.6666666666666665,-0.08333333333333326,-0.08333333333333337,-0.125,0.15187289562289563,-1.3333333333333335,56.375,124798.70833333333,133.43242115775743
small (9-11),Random local-window selection,24,0.0,0.9583333333333334,1.0,0.7083333333333334,0.5168350168350168,5.208333333333333,0.04166666666666674,0.0,-0.04166666666666663,0.012626262626262541,0.20833333333333304,55.833333333333336,121184.75,127.65263555447261
medium (12-18),Full SA-MCGS (locked main),32,0.0,0.875,1.0,0.875,0.5036764705882353,7.375,0.0,0.0,0.0,0.0,0.0,nan,nan,251.55774011462927
medium (12-18),No relation-first memory,32,0.0,0.90625,1.0,0.9375,0.5079378342245989,6.875,0.03125,0.0,0.0625,0.0042613636363636465,-0.5,58.90625,204474.3125,204.42971951514482
medium (12-18),No critical-pair ledger/revisit,32,0.0,0.875,1.0,0.75,0.6960569786626772,4.28125,0.0,0.0,-0.125,0.19238050807444196,-3.09375,59.15625,206404.6875,219.73096872121096
medium (12-18),Random local-window selection,32,0.0,0.90625,0.96875,0.71875,0.5079378342245989,6.875,0.03125,-0.03125,-0.15625,0.0042613636363636465,-0.5,58.5625,197961.28125,194.79417907446623
large (20-34),Full SA-MCGS (locked main),24,0.0,0.7916666666666666,1.0,0.5833333333333334,0.5327987861811391,12.166666666666666,0.0,0.0,0.0,0.0,0.0,nan,nan,294.1778491636117
large (20-34),No relation-first memory,24,0.0,0.8333333333333334,0.9583333333333334,0.5833333333333334,0.5327987861811391,12.166666666666666,0.04166666666666674,-0.04166666666666663,0.0,0.0,0.0,59.958333333333336,248915.16666666666,213.6815084517002
large (20-34),No critical-pair ledger/revisit,24,0.0,0.7916666666666666,0.7083333333333334,0.16666666666666666,0.8164787581699345,4.625,0.0,-0.29166666666666663,-0.41666666666666674,0.28367997198879547,-7.541666666666666,58.75,247546.79166666666,223.00542767842612
large (20-34),Random local-window selection,24,0.0,0.8333333333333334,0.9166666666666666,0.4583333333333333,0.5327987861811391,12.166666666666666,0.04166666666666674,-0.08333333333333337,-0.12500000000000006,0.0,0.0,59.958333333333336,241655.54166666666,206.4008153875669
