Subset,Variant,N,Root@3,Risk-any,Risk-all,Compression,Delta Root@3,Delta Risk-any,Delta Risk-all,Delta Compression
main20,Full SA-MCGS (locked main),20,0.9,1.0,0.75,0.5125728503522622,0.0,0.0,0.0,0.0
main20,No relation-first memory,20,0.85,1.0,0.75,0.5198960826754944,-0.050000000000000044,0.0,0.0,0.007323232323232176
main20,No critical-pair ledger/revisit,20,0.9,0.95,0.5,0.7235457834649012,0.0,-0.050000000000000044,-0.25,0.21097293311263898
main20,Random local-window selection,20,0.85,0.95,0.65,0.5198960826754944,-0.050000000000000044,-0.050000000000000044,-0.09999999999999998,0.007323232323232176
long20,Full SA-MCGS (locked main),20,0.8,1.0,0.65,0.5295189075630252,0.0,0.0,0.0,0.0
long20,No relation-first memory,20,0.9,0.95,0.65,0.5317916348357525,0.09999999999999998,-0.050000000000000044,0.0,0.002272727272727315
long20,No critical-pair ledger/revisit,20,0.8,0.7,0.2,0.806437165775401,0.0,-0.30000000000000004,-0.45,0.2769182582123758
long20,Random local-window selection,20,0.9,0.9,0.45,0.5317916348357525,0.09999999999999998,-0.09999999999999998,-0.2,0.002272727272727315
midshort40,Full SA-MCGS (locked main),40,0.875,1.0,0.8,0.5040998217468806,0.0,0.0,0.0,0.0
midshort40,No relation-first memory,40,0.9,1.0,0.9,0.5102866904337493,0.025000000000000022,0.0,0.09999999999999998,0.006186868686868685
midshort40,No critical-pair ledger/revisit,40,0.825,0.95,0.725,0.6753903531109413,-0.050000000000000044,-0.050000000000000044,-0.07500000000000007,0.1712905313640607
midshort40,Random local-window selection,40,0.925,1.0,0.725,0.5102866904337493,0.050000000000000044,0.0,-0.07500000000000007,0.006186868686868685
