model,domain,scc_id,scc_size,template,root,witness,bridge,affected_count,llm_calls,time,result_file
gpt-4o,cuad,scc_11,34,direct_mutex,cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__9,cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__11.4.3,,2,55,311.5615186691284,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad34_direct_mutex_critical_b60_1778870829.json
gpt-4o,cuad,scc_39,28,direct_mutex,cuad_MANUFACTURERSSERVICESLTD_06_05_2000_EX_1__cuad_MANUFACTURERSSERVICESLTD_06_05_2000__dccdb230__3.1,cuad_MANUFACTURERSSERVICESLTD_06_05_2000_EX_1__cuad_MANUFACTURERSSERVICESLTD_06_05_2000__dccdb230__2.1,,2,60,254.04940700531006,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad28_direct_mutex_critical_b60_1778870607.json
gpt-4o,bgb,scc_3,25,direct_mutex,bgb_505,bgb_491,,2,56,218.2566032409668,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb25_direct_mutex_critical_b60_1778867640.json
gpt-4o,cuad,scc_17,25,direct_mutex,cuad_CERES_INC_01_25_2012_EX_10_20_Collaborat__cuad_CERES_INC_01_25_2012_EX_10_20_Collab_836bcf4c__4.2.2,cuad_CERES_INC_01_25_2012_EX_10_20_Collaborat__cuad_CERES_INC_01_25_2012_EX_10_20_Collab_836bcf4c__13.1,,2,60,272.35966420173645,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad25_direct_mutex_critical_b60_1778870199.json
gpt-4o,cuad,scc_21,24,direct_mutex,cuad_ChinaRealEstateInformationCorp_20090929___cuad_ChinaRealEstateInformationCorp_20090_cde1bad6__6.7,cuad_ChinaRealEstateInformationCorp_20090929___cuad_ChinaRealEstateInformationCorp_20090_cde1bad6__2.2,,2,60,239.6987988948822,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad24_direct_mutex_critical_b60_1778869827.json
gpt-4o,cuad,scc_28,20,direct_mutex,cuad_GOOSEHEADINSURANCE_INC_04_02_2018_EX_10___cuad_GOOSEHEADINSURANCE_INC_04_02_2018_EX_05df4e9e__9.2.9,cuad_GOOSEHEADINSURANCE_INC_04_02_2018_EX_10___cuad_GOOSEHEADINSURANCE_INC_04_02_2018_EX_05df4e9e__19.3,,2,60,362.99630784988403,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad20_direct_mutex_critical_b60_1778869652.json
gpt-4o,cuad,scc_6,18,direct_mutex,cuad_AzulSa_20170303_F_1A_EX_10_3_9943903_EX___cuad_AzulSa_20170303_F_1A_EX_10_3_9943903_ef785c62__9,cuad_AzulSa_20170303_F_1A_EX_10_3_9943903_EX___cuad_AzulSa_20170303_F_1A_EX_10_3_9943903_ef785c62__2,,2,60,297.19686794281006,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad18_direct_mutex_critical_b60_1778869070.json
gpt-4o,sec_ex21,scc_3,18,direct_mutex,us-cw-841126,us-cw-118216,,2,60,208.34112405776978,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2118_direct_mutex_critical_b60_1778867080.json
gpt-4o,cuad,scc_0,17,direct_mutex,cuad_AimmuneTherapeuticsInc_20200205_8_K_EX_1__cuad_AimmuneTherapeuticsInc_20200205_8_K__a14c0805__9.3.3,cuad_AimmuneTherapeuticsInc_20200205_8_K_EX_1__cuad_AimmuneTherapeuticsInc_20200205_8_K__a14c0805__9.4.2,,2,60,241.17738699913025,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad17_direct_mutex_critical_b60_1778868890.json
gpt-4o,cuad,scc_23,16,direct_mutex,cuad_CoherusBiosciencesInc_20200227_10_K_EX_1__cuad_CoherusBiosciencesInc_20200227_10_K__a1c18676__9.6,cuad_CoherusBiosciencesInc_20200227_10_K_EX_1__cuad_CoherusBiosciencesInc_20200227_10_K__a1c18676__4.1.1,,2,60,275.76619577407837,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad16_direct_mutex_critical_b60_1778868285.json
