case_order,case_id,model,domain,scc_id,scc_size,template,source_result_file,old_llm_calls,old_time_sec
1,01_cuad34_scc_11_direct_mutex,deepseek-v3,cuad,scc_11,34,direct_mutex,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad34_direct_mutex_critical_b60_1778870829.json,57,412.48012590408325
2,02_cuad28_scc_39_direct_mutex,deepseek-v3,cuad,scc_39,28,direct_mutex,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad28_direct_mutex_critical_b60_1778870607.json,57,477.6327180862427
3,03_bgb25_scc_3_direct_mutex,deepseek-v3,bgb,scc_3,25,direct_mutex,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb25_direct_mutex_critical_b60_1778867640.json,58,219.57248783111572
4,04_cuad25_scc_17_direct_mutex,deepseek-v3,cuad,scc_17,25,direct_mutex,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad25_direct_mutex_critical_b60_1778870199.json,60,398.95409989356995
5,05_cuad24_scc_21_direct_mutex,deepseek-v3,cuad,scc_21,24,direct_mutex,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad24_direct_mutex_critical_b60_1778869827.json,60,407.1707088947296
6,06_cuad20_scc_28_direct_mutex,deepseek-v3,cuad,scc_28,20,direct_mutex,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad20_direct_mutex_critical_b60_1778869652.json,60,453.5099709033966
7,07_cuad18_scc_6_direct_mutex,deepseek-v3,cuad,scc_6,18,direct_mutex,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad18_direct_mutex_critical_b60_1778869070.json,60,636.9685733318329
8,08_sec_ex2118_scc_3_direct_mutex,deepseek-v3,sec_ex21,scc_3,18,direct_mutex,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2118_direct_mutex_critical_b60_1778867080.json,58,191.78144311904907
9,09_cuad17_scc_0_direct_mutex,deepseek-v3,cuad,scc_0,17,direct_mutex,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad17_direct_mutex_critical_b60_1778868890.json,57,385.9007890224457
10,10_cuad16_scc_23_direct_mutex,deepseek-v3,cuad,scc_23,16,direct_mutex,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad16_direct_mutex_critical_b60_1778868285.json,56,378.47430396080017
11,11_cuad14_scc_8_direct_mutex,deepseek-v3,cuad,scc_8,14,direct_mutex,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad14_direct_mutex_critical_b60_1778868082.json,60,448.60659408569336
12,12_cuad12_scc_50_direct_mutex,deepseek-v3,cuad,scc_50,12,direct_mutex,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad12_direct_mutex_critical_b60_1778868014.json,60,408.53276109695435
13,13_debian12_scc_8_direct_mutex,deepseek-v3,debian,scc_8,12,direct_mutex,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian12_direct_mutex_critical_b60_1778866221.json,59,188.06200790405273
