case_order,case_id,model,domain,scc_id,scc_size,template,source_result_file,old_llm_calls,old_time_sec
1,01_cuad34_scc_11_direct_mutex,gemini-2.5-flash,cuad,scc_11,34,direct_mutex,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad34_direct_mutex_critical_b60_1778870829.json,55,311.5615186691284
2,02_cuad28_scc_39_direct_mutex,gemini-2.5-flash,cuad,scc_39,28,direct_mutex,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad28_direct_mutex_critical_b60_1778870607.json,60,254.04940700531006
3,03_bgb25_scc_3_direct_mutex,gemini-2.5-flash,bgb,scc_3,25,direct_mutex,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb25_direct_mutex_critical_b60_1778867640.json,56,218.2566032409668
4,04_cuad25_scc_17_direct_mutex,gemini-2.5-flash,cuad,scc_17,25,direct_mutex,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad25_direct_mutex_critical_b60_1778870199.json,60,272.35966420173645
5,05_cuad24_scc_21_direct_mutex,gemini-2.5-flash,cuad,scc_21,24,direct_mutex,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad24_direct_mutex_critical_b60_1778869827.json,60,239.6987988948822
6,06_cuad20_scc_28_direct_mutex,gemini-2.5-flash,cuad,scc_28,20,direct_mutex,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad20_direct_mutex_critical_b60_1778869652.json,60,362.99630784988403
7,07_cuad18_scc_6_direct_mutex,gemini-2.5-flash,cuad,scc_6,18,direct_mutex,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad18_direct_mutex_critical_b60_1778869070.json,60,297.19686794281006
8,08_sec_ex2118_scc_3_direct_mutex,gemini-2.5-flash,sec_ex21,scc_3,18,direct_mutex,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2118_direct_mutex_critical_b60_1778867080.json,60,208.34112405776978
9,09_cuad17_scc_0_direct_mutex,gemini-2.5-flash,cuad,scc_0,17,direct_mutex,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad17_direct_mutex_critical_b60_1778868890.json,60,241.17738699913025
10,10_cuad16_scc_23_direct_mutex,gemini-2.5-flash,cuad,scc_23,16,direct_mutex,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad16_direct_mutex_critical_b60_1778868285.json,60,275.76619577407837
11,11_cuad14_scc_8_direct_mutex,gemini-2.5-flash,cuad,scc_8,14,direct_mutex,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad14_direct_mutex_critical_b60_1778868082.json,60,296.60127997398376
12,12_cuad12_scc_50_direct_mutex,gemini-2.5-flash,cuad,scc_50,12,direct_mutex,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad12_direct_mutex_critical_b60_1778868014.json,60,275.5985231399536
13,13_debian12_scc_8_direct_mutex,gemini-2.5-flash,debian,scc_8,12,direct_mutex,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian12_direct_mutex_critical_b60_1778866221.json,57,159.49510192871094
14,14_sec_ex2112_scc_2_direct_mutex,gemini-2.5-flash,sec_ex21,scc_2,12,direct_mutex,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2112_direct_mutex_critical_b60_1778867055.json,59,168.7341821193695
15,15_bgb11_scc_0_direct_mutex,gemini-2.5-flash,bgb,scc_0,11,direct_mutex,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb11_direct_mutex_critical_b60_1778867548.json,52,191.06909799575806
16,16_debian11_scc_23_direct_mutex,gemini-2.5-flash,debian,scc_23,11,direct_mutex,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian11_direct_mutex_critical_b60_1778866221.json,55,150.96577501296997
17,17_sec_ex2111_scc_3_direct_mutex,gemini-2.5-flash,sec_ex21,scc_3,11,direct_mutex,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2111_direct_mutex_critical_b60_1778866652.json,58,173.62228989601135
