Method,Scale,Cases,Case conc.,Internal conc.,Calls / case,Input tok. / case,Output tok. / case,Total tok. / case,Runtime / case,Invalid output,Root@3,Risk-any,Risk-all,Compression
"Full-SCC Naive, single attempt",Overall,40,1,1,1.0,23929.625,2656.85,26586.475,9.35166694521904,0.0,0.75,0.875,0.575,0.8075105466428996
"Full-SCC Naive, single attempt",large,10,1,1,1.0,46337.8,3680.1,50017.9,12.549966835975647,0.0,0.7,0.8,0.6,0.8950672268907564
"Full-SCC Naive, single attempt",medium,12,1,1,1.0,33554.25,3453.25,37007.5,11.648222843805948,0.0,0.75,1.0,0.5,0.8355431061313414
"Full-SCC Naive, single attempt",small,18,1,1,1.0,5064.222222222223,1557.4444444444443,6621.666666666667,6.043796406851874,0.0,0.7777777777777778,0.8333333333333334,0.6111111111111112,0.7401795735129069
GraphRAG-style LEA,Overall,40,1,1,15.6,42187.0,11016.9,53203.9,54.90644811987877,0.0,0.825,1.0,0.65,0.5114364867158985
GraphRAG-style LEA,large,10,1,1,25.6,78355.9,19127.4,97483.3,91.6438916683197,0.0,0.8,1.0,0.5,0.529358543417367
GraphRAG-style LEA,medium,12,1,1,15.333333333333334,46450.25,12074.25,58524.5,60.29130655527115,0.0,0.75,1.0,0.75,0.5132352941176471
GraphRAG-style LEA,small,18,1,1,10.222222222222221,19251.0,5806.166666666667,25057.166666666668,30.906851636038887,0.0,0.8888888888888888,1.0,0.6666666666666666,0.5002805836139169
SA-MCGS,Overall,40,1,1,45.925,115811.025,32408.85,148219.875,164.52676996588707,0.0,0.925,1.0,0.95,0.5819263910109498
SA-MCGS,large,10,1,1,47.3,139047.9,37053.2,176101.1,183.002472281456,0.0,0.7,1.0,0.9,0.7093165266106443
SA-MCGS,medium,12,1,1,47.083333333333336,139500.5,38911.75,178412.25,191.27644002437592,0.0,1.0,1.0,0.9166666666666666,0.591292211328976
SA-MCGS,small,18,1,1,44.388888888888886,87108.66666666667,25493.38888888889,112602.05555555556,136.4293775293562,0.0,1.0,1.0,1.0,0.5049102132435466
