Method,Scale,Cases,Case conc.,Internal conc.,Calls / case,Input tok. / case,Output tok. / case,Total tok. / case,Runtime / case,Invalid output,Root@3,Risk-any,Risk-all,Compression
"Full-SCC Naive, single attempt",Overall,25,1,1,1.0,15922.96,2992.32,18915.28,17.92045678138733,0.0,0.36,0.76,0.36,0.7080522875816994
"Full-SCC Naive, single attempt",large,3,1,1,1.0,23568.0,3210.6666666666665,26778.666666666668,19.064805269241333,0.0,0.0,1.0,0.0,0.8071428571428573
"Full-SCC Naive, single attempt",medium,11,1,1,1.0,24993.909090909092,3684.2727272727275,28678.18181818182,20.67265872521834,0.0,0.0,0.5454545454545454,0.09090909090909091,0.7628172481113658
"Full-SCC Naive, single attempt",small,11,1,1,1.0,4767.0,2240.818181818182,7007.818181818182,14.856159795414317,0.0,0.8181818181818182,0.9090909090909091,0.7272727272727273,0.6262626262626263
GraphRAG-style LEA,Overall,34,1,1,17.941176470588236,39681.029411764706,25828.176470588234,65509.205882352944,179.61567720244912,0.0,0.7352941176470589,0.9411764705882353,0.4411764705882353,0.5167226641102074
GraphRAG-style LEA,large,10,1,1,27.0,67100.9,43209.0,110309.9,297.44699065685273,0.0,0.7,1.0,0.4,0.529358543417367
GraphRAG-style LEA,medium,13,1,1,17.153846153846153,38268.0,26112.30769230769,64380.307692307695,172.42240107976474,0.0,0.6923076923076923,1.0,0.3076923076923077,0.5122171945701358
GraphRAG-style LEA,small,11,1,1,10.636363636363637,16423.81818181818,9691.636363636364,26115.454545454544,80.9974458434365,0.0,0.8181818181818182,0.8181818181818182,0.6363636363636364,0.5105601469237833
SA-MCGS,Overall,35,1,1,48.97142857142857,104337.91428571429,67265.57142857143,171603.48571428572,504.5972893987383,0.0,0.8571428571428571,0.9142857142857143,0.7428571428571429,0.5175435750057599
SA-MCGS,large,10,1,1,49.3,122819.2,78857.3,201676.5,595.3031829118729,0.0,0.6,0.7,0.4,0.529358543417367
SA-MCGS,medium,13,1,1,50.0,115088.30769230769,79256.84615384616,194345.15384615384,545.5575067996979,0.0,0.9230769230769231,1.0,0.7692307692307693,0.5122171945701358
SA-MCGS,small,12,1,1,47.583333333333336,77290.58333333333,44615.25,121905.83333333333,384.63547595342,0.0,1.0,1.0,1.0,0.5134680134680134
naive-single,Overall,9,1,1,,43719.0,5332.222222222223,49051.22222222222,,1.0,,,,
naive-single,large,7,1,1,,46325.71428571428,5386.285714285715,51712.0,,1.0,,,,
naive-single,medium,2,1,1,,34595.5,5143.0,39738.5,,1.0,,,,
