method,scale,case_id,domain,scc_size,case_concurrency,internal_concurrency,llm_calls,recorded_api_calls,prompt_tokens,completion_tokens,total_tokens,runtime_sec,invalid_output,root_at_3,risk_any,risk_all,compression,result_file
GraphRAG-style LEA,large,01_cuad34_scc_11_direct_mutex,cuad,34,1,1,32,36,96280,58348,154628,445.73058104515076,False,True,True,False,0.5294117647058824,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/01_cuad34_scc_11_direct_mutex__lea.json
SA-MCGS,large,01_cuad34_scc_11_direct_mutex,cuad,34,1,1,44,46,129113,70663,199776,566.295490026474,False,True,True,True,0.7941176470588236,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/01_cuad34_scc_11_direct_mutex__sa-mcgs.json
GraphRAG-style LEA,large,02_cuad28_scc_39_direct_mutex,cuad,28,1,1,26,26,64203,33715,97918,263.6495609283447,False,False,True,False,0.5357142857142857,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/02_cuad28_scc_39_direct_mutex__lea.json
SA-MCGS,large,02_cuad28_scc_39_direct_mutex,cuad,28,1,1,41,41,100874,56372,157246,440.392480134964,False,False,True,True,0.6785714285714286,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/02_cuad28_scc_39_direct_mutex__sa-mcgs.json
GraphRAG-style LEA,large,03_bgb25_scc_3_direct_mutex,bgb,25,1,1,24,24,87503,16767,104270,148.18015599250793,False,True,True,False,0.52,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/03_bgb25_scc_3_direct_mutex__lea.json
SA-MCGS,large,03_bgb25_scc_3_direct_mutex,bgb,25,1,1,43,43,149005,32670,181675,291.6399917602539,False,False,True,False,0.56,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/03_bgb25_scc_3_direct_mutex__sa-mcgs.json
GraphRAG-style LEA,large,04_cuad25_scc_17_direct_mutex,cuad,25,1,1,24,24,73423,32732,106155,255.90242409706116,False,True,True,True,0.52,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/04_cuad25_scc_17_direct_mutex__lea.json
SA-MCGS,large,04_cuad25_scc_17_direct_mutex,cuad,25,1,1,45,50,155071,77540,232611,617.1165449619293,False,True,True,True,0.76,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/04_cuad25_scc_17_direct_mutex__sa-mcgs.json
GraphRAG-style LEA,large,05_cuad24_scc_21_direct_mutex,cuad,24,1,1,21,21,47872,27002,74874,213.4837760925293,False,False,True,False,0.5416666666666667,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/05_cuad24_scc_21_direct_mutex__lea.json
SA-MCGS,large,05_cuad24_scc_21_direct_mutex,cuad,24,1,1,50,52,111710,70741,182451,558.3807151317596,False,True,True,True,0.5416666666666667,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/05_cuad24_scc_21_direct_mutex__sa-mcgs.json
