Method,Scale,Cases,Case conc.,Internal conc.,Calls / case,Input tok. / case,Output tok. / case,Total tok. / case,Runtime / case,Invalid output,Root@3,Risk-any,Risk-all,Compression
"Full-SCC Naive, single attempt",Overall,17,1,1,1.0,15649.29411764706,2908.705882352941,18558.0,17.96970760121065,0.0,0.4117647058823529,0.7647058823529411,0.47058823529411764,0.6929308532682236
"Full-SCC Naive, single attempt",large,2,1,1,1.0,27437.0,3465.5,30902.5,20.794872403144836,0.0,0.0,1.0,0.0,0.8107142857142857
"Full-SCC Naive, single attempt",medium,7,1,1,1.0,25024.85714285714,3606.0,28630.85714285714,20.507949829101562,0.0,0.0,0.5714285714285714,0.14285714285714285,0.7603624783246632
"Full-SCC Naive, single attempt",small,8,1,1,1.0,4498.75,2159.375,6658.125,15.042454451322556,0.0,0.875,0.875,0.875,0.6044823232323232
GraphRAG-style LEA,Overall,20,1,1,16.9,35725.7,22721.4,58447.1,175.59617533683777,0.0,0.75,0.9,0.4,0.5148455776249894
GraphRAG-style LEA,large,5,1,1,27.0,65811.8,41453.8,107265.6,319.85207614898684,0.0,0.6,1.0,0.4,0.529358543417367
GraphRAG-style LEA,medium,7,1,1,17.285714285714285,36965.57142857143,25404.85714285714,62370.42857142857,183.3070444038936,0.0,0.7142857142857143,1.0,0.2857142857142857,0.5113445378151261
GraphRAG-style LEA,small,8,1,1,10.25,15837.0,8665.625,24502.625,78.68922689557076,0.0,0.875,0.75,0.5,0.5088383838383839
SA-MCGS,Overall,20,1,1,48.85,99108.4,62057.2,161165.6,524.634985589981,0.0,0.85,0.85,0.75,0.5148455776249894
SA-MCGS,large,5,1,1,49.4,118736.2,73894.8,192631.0,671.2993416309357,0.0,0.6,0.4,0.4,0.529358543417367
SA-MCGS,medium,7,1,1,50.0,110714.0,75698.85714285714,186412.85714285713,576.8369098731449,0.0,0.8571428571428571,1.0,0.7142857142857143,0.5113445378151261
SA-MCGS,small,8,1,1,47.5,76686.125,42722.25,119408.375,387.29307931661606,0.0,1.0,1.0,1.0,0.5088383838383839
naive-single,Overall,3,1,1,,47513.333333333336,4732.0,52245.333333333336,,1.0,,,,
naive-single,large,3,1,1,,47513.333333333336,4732.0,52245.333333333336,,1.0,,,,
