SCC bin,Variant,N,Root@3,Risk-any,Risk-all,Compression,Delta Root@3,Delta Risk-any,Delta Risk-all,Delta Compression
small (9-11),Full SA-MCGS (locked main),24,0.9166666666666666,1.0,0.75,0.5042087542087542,0.0,0.0,0.0,0.0
small (9-11),No relation-first memory,24,0.9166666666666666,1.0,0.8333333333333334,0.5168350168350168,0.0,0.0,0.08333333333333337,0.012626262626262541
small (9-11),No critical-pair ledger/revisit,24,0.8333333333333334,0.9166666666666666,0.625,0.6560816498316498,-0.08333333333333326,-0.08333333333333337,-0.125,0.15187289562289563
small (9-11),Random local-window selection,24,0.9583333333333334,1.0,0.7083333333333334,0.5168350168350168,0.04166666666666674,0.0,-0.04166666666666663,0.012626262626262541
medium (12-18),Full SA-MCGS (locked main),32,0.875,1.0,0.875,0.5036764705882353,0.0,0.0,0.0,0.0
medium (12-18),No relation-first memory,32,0.90625,1.0,0.9375,0.5079378342245989,0.03125,0.0,0.0625,0.0042613636363636465
medium (12-18),No critical-pair ledger/revisit,32,0.875,1.0,0.75,0.6960569786626772,0.0,0.0,-0.125,0.19238050807444196
medium (12-18),Random local-window selection,32,0.90625,0.96875,0.71875,0.5079378342245989,0.03125,-0.03125,-0.15625,0.0042613636363636465
large (20-34),Full SA-MCGS (locked main),24,0.7916666666666666,1.0,0.5833333333333334,0.5327987861811391,0.0,0.0,0.0,0.0
large (20-34),No relation-first memory,24,0.8333333333333334,0.9583333333333334,0.5833333333333334,0.5327987861811391,0.04166666666666674,-0.04166666666666663,0.0,0.0
large (20-34),No critical-pair ledger/revisit,24,0.7916666666666666,0.7083333333333334,0.16666666666666666,0.8164787581699345,0.0,-0.29166666666666663,-0.41666666666666674,0.28367997198879547
large (20-34),Random local-window selection,24,0.8333333333333334,0.9166666666666666,0.4583333333333333,0.5327987861811391,0.04166666666666674,-0.08333333333333337,-0.12500000000000006,0.0
