Method,Scale,Cases,Valid,Invalid,Invalid rate,API calls / case,Input tok. / case,Output tok. / case,Total tok. / case,Runtime / case,Root@3,Risk-any,Risk-all,Compression
Full-SCC Naive (single attempt),Overall,20,17,3,0.15,1.0,20428.9,3182.2,23611.1,20.3822585105896,0.4117647058823529,0.7647058823529411,0.47058823529411764,0.6929308532682235
Full-SCC Naive (single attempt),large,5,2,3,0.6,1.0,39482.8,4225.4,43708.2,28.749977159500123,0.0,1.0,0.0,0.8107142857142857
Full-SCC Naive (single attempt),medium,7,7,0,0.0,1.0,25024.85714285714,3606.0,28630.85714285714,20.507949829101562,0.0,0.5714285714285714,0.14285714285714285,0.7603624783246632
Full-SCC Naive (single attempt),small,8,8,0,0.0,1.0,4498.75,2159.375,6658.125,15.042454451322556,0.875,0.875,0.875,0.6044823232323232
GraphRAG-style LEA,Overall,20,20,0,0.0,17.35,35725.7,22721.4,58447.1,175.59617533683777,0.75,0.9,0.4,0.5148455776249894
GraphRAG-style LEA,large,5,5,0,0.0,28.2,65811.8,41453.8,107265.6,319.85207614898684,0.6,1.0,0.4,0.529358543417367
GraphRAG-style LEA,medium,7,7,0,0.0,17.714285714285715,36965.57142857143,25404.85714285714,62370.42857142857,183.3070444038936,0.7142857142857143,1.0,0.2857142857142857,0.511344537815126
GraphRAG-style LEA,small,8,8,0,0.0,10.25,15837.0,8665.625,24502.625,78.68922689557076,0.875,0.75,0.5,0.5088383838383839
SA-MCGS,Overall,20,20,0,0.0,50.45,99108.4,62057.2,161165.6,524.634985589981,0.85,0.85,0.75,0.5148455776249894
SA-MCGS,large,5,5,0,0.0,50.8,118736.2,73894.8,192631.0,671.2993416309357,0.6,0.4,0.4,0.529358543417367
SA-MCGS,medium,7,7,0,0.0,52.714285714285715,110714.0,75698.85714285714,186412.85714285713,576.8369098731449,0.8571428571428571,1.0,0.7142857142857143,0.511344537815126
SA-MCGS,small,8,8,0,0.0,48.25,76686.125,42722.25,119408.375,387.29307931661606,1.0,1.0,1.0,0.5088383838383839
