SCC bin,Variant,N,Root@3,Risk-any,Risk-all,Risk coverage,Compression,Delta Root@3,Delta Risk-any,Delta Risk-all,Delta Compression
small (9-11),Full SA-MCGS (locked main),6,1.0,1.0,0.8333333333333334,0.9166666666666666,0.5042087542087542,0.0,0.0,0.0,0.0
small (9-11),No OC/core signal (replay),6,1.0,1.0,0.8333333333333334,0.9166666666666666,0.5042087542087542,0.0,0.0,0.0,0.0
small (9-11),Monotone core (replay),6,1.0,1.0,0.6666666666666666,0.8333333333333334,0.7680134680134679,0.0,0.0,-0.16666666666666674,0.2638047138047137
small (9-11),No pair closure in final core (replay),6,1.0,1.0,0.8333333333333334,0.9166666666666666,0.5042087542087542,0.0,0.0,0.0,0.0
medium (12-18),Full SA-MCGS (locked main),10,0.9,1.0,0.9,0.95,0.5029411764705882,0.0,0.0,0.0,0.0
medium (12-18),No OC/core signal (replay),10,0.9,1.0,0.9,0.95,0.5029411764705882,0.0,0.0,0.0,0.0
medium (12-18),Monotone core (replay),10,0.9,1.0,0.7,0.85,0.7740312791783379,0.0,0.0,-0.20000000000000007,0.2710901027077497
medium (12-18),No pair closure in final core (replay),10,0.9,1.0,0.9,0.95,0.5029411764705882,0.0,0.0,0.0,0.0
large (20-34),Full SA-MCGS (locked main),24,0.7916666666666666,1.0,0.5833333333333334,0.7916666666666666,0.5327987861811391,0.0,0.0,0.0,0.0
large (20-34),No OC/core signal (replay),24,0.7916666666666666,1.0,0.5833333333333334,0.7916666666666666,0.5327987861811391,0.0,0.0,0.0,0.0
large (20-34),Monotone core (replay),24,0.7916666666666666,0.9583333333333334,0.5416666666666666,0.75,0.7712978524743231,0.0,-0.04166666666666663,-0.04166666666666674,0.23849906629318407
large (20-34),No pair closure in final core (replay),24,0.7916666666666666,1.0,0.5416666666666666,0.7708333333333334,0.5364752567693745,0.0,0.0,-0.04166666666666674,0.003676470588235392
