case_order,case_id,model,domain,scc_id,scc_size,template,root,witness,bridge,affected_count,source_result_file,old_llm_calls,old_time_sec
1,001_gpt-4o_debian11_scc_23_direct_mutex,gpt-4o,debian,scc_23,11,direct_mutex,node-parse-json,node-deep-equal,,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian11_direct_mutex_critical_b60_1778866221.json,55,150.96577501296997
2,002_gpt-4o_debian11_scc_23_handoff_invariant,gpt-4o,debian,scc_23,11,handoff_invariant,node-parse-json,node-deep-equal,node-tape,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian11_handoff_invariant_critical_b60_1778866221.json,57,145.78968214988708
3,003_gpt-4o_debian11_scc_23_temporal_gate,gpt-4o,debian,scc_23,11,temporal_gate,node-parse-json,node-deep-equal,node-tape,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian11_temporal_gate_critical_b60_1778866221.json,57,125.08899092674255
4,004_gpt-4o_debian11_scc_23_condition_trigger,gpt-4o,debian,scc_23,11,condition_trigger,node-parse-json,node-deep-equal,node-tape,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian11_condition_trigger_critical_b60_1778866221.json,49,154.68285489082336
5,005_gpt-4o_debian12_scc_8_direct_mutex,gpt-4o,debian,scc_8,12,direct_mutex,libecore-x1,libecore-input1,,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian12_direct_mutex_critical_b60_1778866221.json,57,159.49510192871094
6,006_gpt-4o_debian12_scc_8_handoff_invariant,gpt-4o,debian,scc_8,12,handoff_invariant,libecore-x1,libecore-input1,libevas1-engines-x,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian12_handoff_invariant_critical_b60_1778866221.json,59,157.3218810558319
7,007_gpt-4o_debian12_scc_8_temporal_gate,gpt-4o,debian,scc_8,12,temporal_gate,libecore-x1,libecore-input1,libevas1-engines-x,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian12_temporal_gate_critical_b60_1778866221.json,55,179.09507584571838
8,008_gpt-4o_debian12_scc_8_condition_trigger,gpt-4o,debian,scc_8,12,condition_trigger,libecore-x1,libecore-input1,libevas1-engines-x,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian12_condition_trigger_critical_b60_1778866221.json,55,161.93305087089539
9,009_gpt-4o_sec_ex219_scc_5_direct_mutex,gpt-4o,sec_ex21,scc_5,9,direct_mutex,us-cw-3682212,us-cw-3682811,,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex219_direct_mutex_critical_b60_1778866228.json,58,144.61453700065613
10,010_gpt-4o_sec_ex219_scc_0_handoff_invariant,gpt-4o,sec_ex21,scc_0,9,handoff_invariant,us-cw-3682212,us-cw-3682811,us-cw-3682211,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex219_handoff_invariant_critical_b60_1778866228.json,58,163.20630502700806
11,011_gpt-4o_sec_ex219_scc_1_temporal_gate,gpt-4o,sec_ex21,scc_1,9,temporal_gate,us-cw-3682212,us-cw-3682811,us-cw-3682211,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex219_temporal_gate_critical_b60_1778866629.json,56,185.22025084495544
12,012_gpt-4o_sec_ex219_scc_6_condition_trigger,gpt-4o,sec_ex21,scc_6,9,condition_trigger,us-cw-3682212,us-cw-3682811,us-cw-3682211,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex219_condition_trigger_critical_b60_1778866636.json,54,181.25031685829163
13,013_gpt-4o_sec_ex2110_scc_7_direct_mutex,gpt-4o,sec_ex21,scc_7,10,direct_mutex,us-cw-515909,us-cw-1020294,,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2110_direct_mutex_critical_b60_1778866638.json,60,153.81014728546143
14,014_gpt-4o_sec_ex2110_scc_5_handoff_invariant,gpt-4o,sec_ex21,scc_5,10,handoff_invariant,us-cw-515909,us-cw-1020294,us-cw-515912,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2110_handoff_invariant_critical_b60_1778866640.json,57,140.745609998703
15,015_gpt-4o_sec_ex2110_scc_2_temporal_gate,gpt-4o,sec_ex21,scc_2,10,temporal_gate,us-cw-515909,us-cw-1020294,us-cw-515912,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2110_temporal_gate_critical_b60_1778866646.json,56,135.00312876701355
16,016_gpt-4o_sec_ex2110_scc_2_condition_trigger,gpt-4o,sec_ex21,scc_2,10,condition_trigger,us-cw-515909,us-cw-1020294,us-cw-515912,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2110_condition_trigger_critical_b60_1778866647.json,60,155.39109206199646
17,017_gpt-4o_sec_ex2111_scc_3_direct_mutex,gpt-4o,sec_ex21,scc_3,11,direct_mutex,us-cw-406176,us-cw-423245,,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2111_direct_mutex_critical_b60_1778866652.json,58,173.62228989601135
