case_id,model,domain,scc_size,template,lea_root_at_3,lea_risk_any,lea_risk_all,lea_compression,lea_calls,lea_tokens,lea_runtime,sa_root_at_3,sa_risk_any,sa_risk_all,sa_compression,sa_calls,sa_runtime,naive_root_at_3,naive_risk_any,naive_risk_all,naive_compression,naive_invalid,naive_calls,naive_runtime
001_gpt-4o_debian11_scc_23_direct_mutex,gpt-4o,debian,11,direct_mutex,True,True,True,0.5454545454545454,11.0,24362.0,83.58117890357971,True,True,True,0.5454545454545454,55.0,150.96577501296997,True,True,True,0.5454545454545454,False,1.0,28.157553911209106
002_gpt-4o_debian11_scc_23_handoff_invariant,gpt-4o,debian,11,handoff_invariant,True,True,True,0.5454545454545454,11.0,23888.0,80.80797386169434,True,True,True,0.5454545454545454,57.0,145.78968214988708,False,True,False,0.7272727272727273,False,1.0,27.38046407699585
003_gpt-4o_debian11_scc_23_temporal_gate,gpt-4o,debian,11,temporal_gate,True,True,True,0.5454545454545454,11.0,23914.0,78.37408781051636,True,True,True,0.5454545454545454,57.0,125.08899092674255,False,True,False,0.5454545454545454,False,1.0,31.962357997894287
004_gpt-4o_debian11_scc_23_condition_trigger,gpt-4o,debian,11,condition_trigger,True,True,True,0.5454545454545454,9.0,18176.0,53.34821629524231,True,True,True,0.5454545454545454,49.0,154.68285489082336,False,True,False,0.8181818181818181,False,1.0,21.06142783164978
005_gpt-4o_debian12_scc_8_direct_mutex,gpt-4o,debian,12,direct_mutex,True,True,True,0.5,11.0,26598.0,76.94494223594666,True,True,True,0.5,57.0,159.49510192871094,True,True,True,0.5833333333333333,False,1.0,11.133669137954712
006_gpt-4o_debian12_scc_8_handoff_invariant,gpt-4o,debian,12,handoff_invariant,True,True,False,0.5,11.0,26485.0,79.5279278755188,True,True,True,0.5,59.0,157.3218810558319,True,True,True,0.6666666666666667,False,1.0,13.854960203170776
007_gpt-4o_debian12_scc_8_temporal_gate,gpt-4o,debian,12,temporal_gate,False,True,False,0.5,11.0,25010.0,67.28523087501526,True,True,True,0.5,55.0,179.09507584571838,False,True,True,0.08333333333333337,False,1.0,15.8017578125
008_gpt-4o_debian12_scc_8_condition_trigger,gpt-4o,debian,12,condition_trigger,False,True,True,0.5,11.0,25438.0,72.90342116355896,True,True,True,0.5,55.0,161.93305087089539,False,False,False,0.5,False,1.0,16.20038914680481
009_gpt-4o_sec_ex219_scc_5_direct_mutex,gpt-4o,sec_ex21,9,direct_mutex,True,True,True,0.5,10.0,14354.0,62.709131956100464,True,True,True,0.4444444444444444,58.0,144.61453700065613,True,True,True,0.5555555555555556,False,1.0,25.57867193222046
010_gpt-4o_sec_ex219_scc_0_handoff_invariant,gpt-4o,sec_ex21,9,handoff_invariant,True,True,True,0.5,12.0,16218.0,73.45035910606384,True,True,True,0.4444444444444444,58.0,163.20630502700806,True,True,True,0.33333333333333337,False,1.0,27.183500051498413
011_gpt-4o_sec_ex219_scc_1_temporal_gate,gpt-4o,sec_ex21,9,temporal_gate,True,True,True,0.4444444444444444,9.0,13449.0,60.599491119384766,True,True,True,0.4444444444444444,56.0,185.22025084495544,True,True,True,0.4444444444444444,False,1.0,39.12853121757507
012_gpt-4o_sec_ex219_scc_6_condition_trigger,gpt-4o,sec_ex21,9,condition_trigger,True,True,False,0.5454545454545454,11.0,17895.0,76.52060532569885,True,True,True,0.4444444444444444,54.0,181.25031685829163,True,True,True,0.4444444444444444,False,1.0,12.77646017074585
013_gpt-4o_sec_ex2110_scc_7_direct_mutex,gpt-4o,sec_ex21,10,direct_mutex,True,True,True,0.5454545454545454,11.0,16117.0,68.15577793121338,True,True,False,0.5,60.0,153.81014728546143,True,True,False,0.8,False,1.0,20.708467960357666
014_gpt-4o_sec_ex2110_scc_5_handoff_invariant,gpt-4o,sec_ex21,10,handoff_invariant,True,True,True,0.5,10.0,14406.0,61.33955478668213,True,True,False,0.5,57.0,140.745609998703,True,True,False,0.8,False,1.0,15.0798978805542
015_gpt-4o_sec_ex2110_scc_2_temporal_gate,gpt-4o,sec_ex21,10,temporal_gate,True,True,False,0.5454545454545454,8.0,14462.0,51.571845054626465,True,True,False,0.5,56.0,135.00312876701355,False,True,False,0.7,False,1.0,26.913872718811035
016_gpt-4o_sec_ex2110_scc_2_condition_trigger,gpt-4o,sec_ex21,10,condition_trigger,True,False,False,0.5454545454545454,8.0,14321.0,57.696414947509766,True,True,False,0.5,60.0,155.39109206199646,True,True,True,0.5,False,1.0,19.662772178649902
017_gpt-4o_sec_ex2111_scc_3_direct_mutex,gpt-4o,sec_ex21,11,direct_mutex,True,True,True,0.5,12.0,19882.0,87.71480512619019,True,True,True,0.5454545454545454,58.0,173.62228989601135,True,True,False,0.8181818181818181,False,1.0,71.21194005012512
