group,N,LEA Root@3,SA Root@3,Delta Root@3,LEA Risk-any,SA Risk-any,Delta Risk-any,LEA Risk-all,SA Risk-all,Delta Risk-all,LEA Compression,SA Compression,LEA Calls,SA Calls,LEA Runtime,SA Runtime
overall,160,0.8375,0.86875,0.03125,0.9625,0.9875,0.025000000000000022,0.6625,0.79375,0.13124999999999998,0.5156031533825651,0.5355783120066209,15.6875,55.74375,311.2982130885124,394.21925359070303
model=gemini-2.5-pro,80,0.8875,0.875,-0.012499999999999956,1.0,0.975,-0.025000000000000022,0.8875,0.8375,-0.04999999999999993,0.5156662846956965,0.5585837736609796,14.8875,52.9875,446.7939922183752,544.1183008819819
model=gpt-4o,80,0.7875,0.8625,0.07500000000000007,0.925,1.0,0.07499999999999996,0.4375,0.75,0.3125,0.5155400220694338,0.5125728503522622,16.4875,58.5,175.80243395864963,244.32020629942417
domain=bgb,24,0.7083333333333334,0.8333333333333334,0.125,0.9166666666666666,1.0,0.08333333333333337,0.5,0.75,0.25,0.5032996632996632,0.5420875420875421,14.791666666666666,52.708333333333336,308.2484233677387,404.61841310064
domain=cuad,80,0.8125,0.825,0.012499999999999956,0.9875,0.975,-0.012500000000000067,0.65,0.7625,0.11249999999999993,0.5206204481792718,0.5499445028011205,19.3,57.325,385.4998358160257,414.81258468925955
domain=debian,16,0.75,0.9375,0.1875,1.0,1.0,0.0,0.8125,0.9375,0.125,0.5227272727272727,0.5331439393939393,10.625,53.625,189.28201200067997,326.1133583635092
domain=sec_ex21,40,1.0,0.95,-0.050000000000000044,0.925,1.0,0.07499999999999996,0.725,0.825,0.09999999999999998,0.5101010101010102,0.5039141414141415,11.025,55.25,213.531321901083,374.0354537785053
scale=large>=21,40,0.85,0.775,-0.07499999999999996,1.0,0.975,-0.025000000000000022,0.55,0.725,0.17499999999999993,0.529358543417367,0.605673319327731,25.575,56.45,471.6043332576752,397.0100706279278
scale=medium13-20,48,0.75,0.8333333333333334,0.08333333333333337,0.9791666666666666,0.9791666666666666,0.0,0.6458333333333334,0.75,0.10416666666666663,0.5137613883937413,0.5154343681917212,14.708333333333334,57.791666666666664,333.7923250546058,411.7997995664676
scale=small<=12,72,0.8888888888888888,0.9444444444444444,0.05555555555555558,0.9305555555555556,1.0,0.06944444444444442,0.7361111111111112,0.8611111111111112,0.125,0.50918911335578,0.5100659371492705,10.847222222222221,53.986111111111114,207.2431827949153,380.9484356972906
