domain,requested,actual,template,model,naive_err,naive_root3,sa_root3,naive_any,sa_any,naive_all,sa_all,naive_subgraph,sa_subgraph,naive_comp,sa_comp,sa_oc,sa_eff_oc
bgb,14,3,condition_trigger,deepseek-v3,False,True,True,True,True,True,True,2.0,3.0,0.33333333333333337,0.0,True,True
bgb,14,3,condition_trigger,gpt-4o,False,True,True,True,True,True,True,3.0,3.0,0.0,0.0,False,True
bgb,14,3,direct_mutex,deepseek-v3,False,True,True,True,True,True,True,2.0,3.0,0.33333333333333337,0.0,False,True
bgb,14,3,direct_mutex,gpt-4o,False,True,True,True,True,True,True,3.0,3.0,0.0,0.0,False,True
bgb,14,3,handoff_invariant,deepseek-v3,False,True,True,True,True,True,True,2.0,2.0,0.33333333333333337,0.33333333333333337,True,True
bgb,14,3,handoff_invariant,gpt-4o,False,True,True,True,True,True,True,3.0,3.0,0.0,0.0,False,True
bgb,14,3,temporal_gate,deepseek-v3,False,True,True,True,True,True,True,2.0,2.0,0.33333333333333337,0.33333333333333337,False,True
bgb,14,3,temporal_gate,gpt-4o,False,True,True,True,True,True,True,3.0,3.0,0.0,0.0,True,True
bgb,25,25,condition_trigger,deepseek-v3,False,False,False,True,False,False,False,9.0,5.0,0.64,0.8,False,False
bgb,25,25,condition_trigger,gpt-4o,False,False,True,True,True,False,False,4.0,3.0,0.84,0.88,True,True
bgb,25,25,direct_mutex,deepseek-v3,False,False,False,False,False,False,False,7.0,2.0,0.72,0.92,True,False
bgb,25,25,direct_mutex,gpt-4o,True,False,True,False,True,False,False,,4.0,,0.84,True,True
bgb,25,25,handoff_invariant,deepseek-v3,False,False,True,True,True,False,False,4.0,4.0,0.84,0.84,True,True
bgb,25,25,handoff_invariant,gpt-4o,True,False,False,False,False,False,False,,3.0,,0.88,True,False
bgb,25,25,temporal_gate,deepseek-v3,False,False,True,False,True,False,True,6.0,5.0,0.76,0.8,True,True
bgb,25,25,temporal_gate,gpt-4o,True,False,True,False,True,False,False,,3.0,,0.88,True,True
cuad,18,18,condition_trigger,deepseek-v3,False,True,True,True,True,True,True,6.0,4.0,0.6666666666666667,0.7777777777777778,False,True
cuad,18,18,condition_trigger,gpt-4o,False,False,True,False,True,False,True,3.0,4.0,0.8333333333333334,0.7777777777777778,True,True
cuad,18,18,direct_mutex,deepseek-v3,False,True,False,True,False,True,False,2.0,4.0,0.8888888888888888,0.7777777777777778,True,False
cuad,18,18,direct_mutex,gpt-4o,False,False,True,False,False,False,False,4.0,2.0,0.7777777777777778,0.8888888888888888,True,False
cuad,18,18,handoff_invariant,deepseek-v3,False,False,True,True,True,False,False,5.0,3.0,0.7222222222222222,0.8333333333333334,True,True
cuad,18,18,handoff_invariant,gpt-4o,False,False,True,False,True,False,True,3.0,4.0,0.8333333333333334,0.7777777777777778,True,True
cuad,18,18,temporal_gate,deepseek-v3,False,True,True,True,True,True,False,3.0,5.0,0.8333333333333334,0.7222222222222222,True,True
cuad,18,18,temporal_gate,gpt-4o,False,False,False,True,True,False,False,4.0,5.0,0.7777777777777778,0.7222222222222222,True,True
cuad,25,25,condition_trigger,deepseek-v3,False,True,False,True,True,True,True,3.0,6.0,0.88,0.76,True,True
cuad,25,25,condition_trigger,gpt-4o,True,False,True,False,True,False,True,,3.0,,0.88,True,True
cuad,25,25,direct_mutex,deepseek-v3,False,True,True,True,True,True,True,4.0,7.0,0.84,0.72,True,True
cuad,25,25,direct_mutex,gpt-4o,True,False,True,False,True,False,False,,3.0,,0.88,True,True
cuad,25,25,handoff_invariant,deepseek-v3,False,True,True,True,True,True,False,5.0,2.0,0.8,0.92,True,True
cuad,25,25,handoff_invariant,gpt-4o,True,False,True,False,True,False,True,,3.0,,0.88,True,True
cuad,25,25,temporal_gate,deepseek-v3,False,True,False,True,True,True,False,4.0,5.0,0.84,0.8,True,True
cuad,25,25,temporal_gate,gpt-4o,True,False,True,False,True,False,True,,4.0,,0.84,True,True
