domain,scc_id,scc_size,model,root_top3,risk_any,risk_all,oc_count,first_any,first_all,effective_oc,final_risk_coverage,final_valuable_coverage,core_size,context_size,core_compression,context_compression,stop_reason
bgb,scc_7,8,deepseek-v3,True,True,False,2,2,,12,0.5,0.25,3,4,0.625,0.5,score_gap
bgb,scc_7,8,gpt-4o,True,True,False,2,5,5,10,0.5,0.25,3,4,0.625,0.5,score_gap
bgb,scc_5,14,deepseek-v3,False,True,False,2,3,,10,0.5,0.25,2,7,0.8571428571428572,0.5,score_gap
bgb,scc_5,14,gpt-4o,False,True,False,2,1,,19,0.5,0.25,2,7,0.8571428571428572,0.5,score_gap
debian,scc_23,11,deepseek-v3,False,True,False,0,1,,,0.5,0.5,5,5,0.5454545454545454,0.5454545454545454,score_gap
debian,scc_23,11,gpt-4o,False,True,False,2,2,5,16,0.5,0.5,4,5,0.6363636363636364,0.5454545454545454,score_gap
debian,scc_8,12,deepseek-v3,False,False,False,0,1,1,,0.0,0.25,4,6,0.6666666666666667,0.5,score_gap
debian,scc_8,12,gpt-4o,True,True,True,1,3,3,11,1.0,0.5,2,6,0.8333333333333334,0.5,score_gap
sec_ex21,scc_6,9,deepseek-v3,False,True,True,1,1,3,12,1.0,0.5,2,5,0.7777777777777778,0.4444444444444444,score_gap
sec_ex21,scc_6,9,gpt-4o,False,False,False,1,1,2,,0.0,0.0,2,5,0.7777777777777778,0.4444444444444444,score_gap
sec_ex21,scc_1,10,deepseek-v3,False,True,False,2,1,,9,0.5,0.5,4,5,0.6,0.5,score_gap
sec_ex21,scc_1,10,gpt-4o,False,True,False,1,1,5,11,0.5,0.5,3,5,0.7,0.5,below_relative_score
sec_ex21,scc_4,12,deepseek-v3,False,True,True,1,2,10,,1.0,0.5,3,6,0.75,0.5,score_gap
sec_ex21,scc_4,12,gpt-4o,True,True,True,1,3,4,,1.0,0.5,3,6,0.75,0.5,below_relative_score
sec_ex21,scc_0,18,deepseek-v3,False,False,False,0,3,,,0.0,0.0,3,9,0.8333333333333334,0.5,score_gap
sec_ex21,scc_0,18,gpt-4o,False,True,False,0,11,,,0.5,0.25,5,9,0.7222222222222222,0.5,score_gap
