case_id,domain,actual_size,template,severity,model,first_any,first_all,first_oc,final_risk,final_value,final_any,final_all,final_oc,final_comp,final_size
bgb-25-condition_trigger-critical-deepseek-v3,bgb,25,condition_trigger,critical,deepseek-v3,1,16.0,,1.0,1.0,True,True,False,0.52,12
bgb-25-condition_trigger-critical-gpt-4o,bgb,25,condition_trigger,critical,gpt-4o,3,14.0,22.0,0.5,0.75,True,False,True,0.52,12
bgb-25-condition_trigger-severe-deepseek-v3,bgb,25,condition_trigger,severe,deepseek-v3,2,18.0,,1.0,0.75,True,True,False,0.52,12
bgb-25-condition_trigger-severe-gpt-4o,bgb,25,condition_trigger,severe,gpt-4o,2,3.0,32.0,0.5,0.5,True,False,True,0.52,12
bgb-25-condition_trigger-standard-deepseek-v3,bgb,25,condition_trigger,standard,deepseek-v3,3,6.0,,0.5,0.75,True,False,False,0.52,12
bgb-25-condition_trigger-standard-gpt-4o,bgb,25,condition_trigger,standard,gpt-4o,1,,27.0,0.0,0.5,False,False,True,0.52,12
bgb-25-direct_mutex-critical-deepseek-v3,bgb,25,direct_mutex,critical,deepseek-v3,7,21.0,,1.0,0.75,True,True,False,0.52,12
bgb-25-direct_mutex-critical-gpt-4o,bgb,25,direct_mutex,critical,gpt-4o,7,15.0,18.0,0.5,0.25,True,False,True,0.52,12
bgb-25-direct_mutex-severe-deepseek-v3,bgb,25,direct_mutex,severe,deepseek-v3,4,7.0,,1.0,0.5,True,True,False,0.52,12
bgb-25-direct_mutex-severe-gpt-4o,bgb,25,direct_mutex,severe,gpt-4o,4,5.0,18.0,1.0,0.75,True,True,True,0.52,12
bgb-25-direct_mutex-standard-deepseek-v3,bgb,25,direct_mutex,standard,deepseek-v3,4,13.0,,1.0,0.75,True,True,False,0.52,12
bgb-25-direct_mutex-standard-gpt-4o,bgb,25,direct_mutex,standard,gpt-4o,3,9.0,34.0,1.0,1.0,True,True,True,0.52,12
bgb-25-handoff_invariant-critical-deepseek-v3,bgb,25,handoff_invariant,critical,deepseek-v3,4,4.0,17.0,1.0,1.0,True,True,True,0.52,12
bgb-25-handoff_invariant-critical-gpt-4o,bgb,25,handoff_invariant,critical,gpt-4o,6,12.0,40.0,1.0,1.0,True,True,True,0.52,12
bgb-25-handoff_invariant-severe-deepseek-v3,bgb,25,handoff_invariant,severe,deepseek-v3,2,4.0,29.0,1.0,1.0,True,True,True,0.52,12
bgb-25-handoff_invariant-severe-gpt-4o,bgb,25,handoff_invariant,severe,gpt-4o,4,6.0,18.0,0.5,0.5,True,False,True,0.52,12
bgb-25-handoff_invariant-standard-deepseek-v3,bgb,25,handoff_invariant,standard,deepseek-v3,8,27.0,19.0,1.0,0.75,True,True,True,0.52,12
bgb-25-handoff_invariant-standard-gpt-4o,bgb,25,handoff_invariant,standard,gpt-4o,2,10.0,13.0,1.0,1.0,True,True,True,0.52,12
bgb-25-temporal_gate-critical-deepseek-v3,bgb,25,temporal_gate,critical,deepseek-v3,4,8.0,27.0,1.0,1.0,True,True,True,0.52,12
bgb-25-temporal_gate-critical-gpt-4o,bgb,25,temporal_gate,critical,gpt-4o,3,8.0,,0.5,0.75,True,False,False,0.52,12
bgb-25-temporal_gate-severe-deepseek-v3,bgb,25,temporal_gate,severe,deepseek-v3,5,8.0,57.0,1.0,0.75,True,True,True,0.52,12
