block_id,domain,actual_size,requested_size,template,model,selector,attempt_count,valid_attempt_count,selected_count,root_at3,risk_any,risk_all,compression,avg_total_tokens,avg_prompt_tokens,avg_completion_tokens
1,debian,11,11,direct_mutex,gpt-4o,self_top3,5,5,3,1.0,1.0,1.0,0.5757575757575758,5580.666666666667,3799.0,1781.6666666666667
1,debian,11,11,direct_mutex,gpt-4o,oracle_top3,5,5,3,1.0,1.0,1.0,0.6363636363636364,5555.0,3799.0,1756.0
1,debian,11,11,direct_mutex,deepseek-v3,self_top3,5,5,3,1.0,1.0,1.0,0.6363636363636364,5951.666666666667,3963.0,1988.6666666666667
1,debian,11,11,direct_mutex,deepseek-v3,oracle_top3,5,5,3,1.0,1.0,1.0,0.6363636363636364,5951.666666666667,3963.0,1988.6666666666667
1,debian,11,11,direct_mutex,qwen2.5-72b,self_top3,5,5,3,0.3333333333333333,1.0,0.3333333333333333,0.5454545454545454,5467.666666666667,3803.0,1664.6666666666667
1,debian,11,11,direct_mutex,qwen2.5-72b,oracle_top3,5,5,3,0.3333333333333333,1.0,0.3333333333333333,0.6363636363636364,5339.0,3803.0,1536.0
1,debian,11,11,direct_mutex,gemini-2.5-pro,self_top3,5,5,3,1.0,1.0,1.0,0.42424242424242425,12820.0,4184.0,8636.0
1,debian,11,11,direct_mutex,gemini-2.5-pro,oracle_top3,5,5,3,1.0,1.0,1.0,0.6363636363636364,10966.333333333334,4184.0,6782.333333333333
2,debian,11,11,handoff_invariant,gpt-4o,self_top3,5,5,3,0.0,1.0,0.6666666666666666,0.6666666666666666,5689.0,3816.0,1873.0
2,debian,11,11,handoff_invariant,gpt-4o,oracle_top3,5,5,3,0.3333333333333333,1.0,1.0,0.6060606060606061,5733.0,3816.0,1917.0
2,debian,11,11,handoff_invariant,deepseek-v3,self_top3,5,5,3,0.6666666666666666,1.0,1.0,0.5757575757575757,6199.666666666667,3984.0,2215.6666666666665
2,debian,11,11,handoff_invariant,deepseek-v3,oracle_top3,5,5,3,1.0,1.0,1.0,0.5454545454545454,6212.333333333333,3984.0,2228.3333333333335
2,debian,11,11,handoff_invariant,qwen2.5-72b,self_top3,5,5,3,0.0,1.0,0.0,0.5454545454545454,5598.666666666667,3821.0,1777.6666666666667
2,debian,11,11,handoff_invariant,qwen2.5-72b,oracle_top3,5,5,3,0.0,1.0,0.6666666666666666,0.21212121212121213,6065.333333333333,3821.0,2244.3333333333335
2,debian,11,11,handoff_invariant,gemini-2.5-pro,self_top3,5,5,3,0.6666666666666666,1.0,0.6666666666666666,0.6060606060606061,13035.333333333334,4203.0,8832.333333333334
2,debian,11,11,handoff_invariant,gemini-2.5-pro,oracle_top3,5,5,3,0.6666666666666666,1.0,1.0,0.48484848484848486,13598.0,4203.0,9395.0
3,debian,11,11,temporal_gate,gpt-4o,self_top3,5,5,3,0.0,1.0,0.0,0.48484848484848486,5676.666666666667,3823.0,1853.6666666666667
3,debian,11,11,temporal_gate,gpt-4o,oracle_top3,5,5,3,0.0,1.0,0.0,0.6060606060606061,5675.666666666667,3823.0,1852.6666666666667
3,debian,11,11,temporal_gate,deepseek-v3,self_top3,5,5,3,0.0,1.0,0.6666666666666666,0.6060606060606061,6011.0,3983.0,2028.0
3,debian,11,11,temporal_gate,deepseek-v3,oracle_top3,5,5,3,0.0,1.0,1.0,0.5757575757575757,5927.333333333333,3983.0,1944.3333333333333
3,debian,11,11,temporal_gate,qwen2.5-72b,self_top3,5,5,3,0.0,1.0,0.0,0.5454545454545454,5592.0,3828.0,1764.0
3,debian,11,11,temporal_gate,qwen2.5-72b,oracle_top3,5,5,3,0.0,1.0,0.0,0.5757575757575757,5602.333333333333,3828.3333333333335,1774.0
3,debian,11,11,temporal_gate,gemini-2.5-pro,self_top3,5,5,3,1.0,1.0,0.6666666666666666,0.6363636363636364,12394.333333333334,4209.0,8185.333333333333
3,debian,11,11,temporal_gate,gemini-2.5-pro,oracle_top3,5,5,3,1.0,1.0,1.0,0.45454545454545453,11679.333333333334,4209.0,7470.333333333333
4,debian,11,11,condition_trigger,gpt-4o,self_top3,5,5,3,0.0,1.0,0.0,0.5757575757575757,5670.0,3809.0,1861.0
4,debian,11,11,condition_trigger,gpt-4o,oracle_top3,5,5,3,0.0,1.0,0.0,0.5757575757575757,5644.0,3809.0,1835.0
4,debian,11,11,condition_trigger,deepseek-v3,self_top3,5,5,3,0.3333333333333333,1.0,0.3333333333333333,0.6969696969696969,5860.0,3969.0,1891.0
4,debian,11,11,condition_trigger,deepseek-v3,oracle_top3,5,5,3,0.6666666666666666,1.0,0.6666666666666666,0.6969696969696969,5844.0,3969.0,1875.0
4,debian,11,11,condition_trigger,qwen2.5-72b,self_top3,5,5,3,0.0,1.0,0.0,0.5757575757575758,5778.666666666667,3814.3333333333335,1964.3333333333333
4,debian,11,11,condition_trigger,qwen2.5-72b,oracle_top3,5,5,3,0.0,1.0,0.3333333333333333,0.42424242424242425,5827.333333333333,3814.3333333333335,2013.0
