block_id,domain,actual_size,requested_size,template,model,selector,attempt_count,valid_attempt_count,selected_count,root_at3,risk_any,risk_all,compression,avg_total_tokens,avg_prompt_tokens,avg_completion_tokens
1,debian,11,11,direct_mutex,gpt-4o,self_top3,10,10,3,0.6666666666666666,1.0,1.0,0.6060606060606061,5521.0,3799.0,1722.0
1,debian,11,11,direct_mutex,gpt-4o,oracle_risk_top3,10,10,3,1.0,1.0,1.0,0.6363636363636364,5678.333333333333,3799.0,1879.3333333333333
1,debian,11,11,direct_mutex,gpt-4o,oracle_compression_top3,10,10,3,1.0,1.0,1.0,0.6363636363636364,5678.333333333333,3799.0,1879.3333333333333
1,debian,11,11,direct_mutex,deepseek-v3,self_top3,10,9,3,1.0,1.0,1.0,0.6666666666666666,5877.333333333333,3963.0,1914.3333333333333
1,debian,11,11,direct_mutex,deepseek-v3,oracle_risk_top3,10,9,3,1.0,1.0,1.0,0.6969696969696969,5816.0,3963.0,1853.0
1,debian,11,11,direct_mutex,deepseek-v3,oracle_compression_top3,10,9,3,1.0,1.0,1.0,0.6969696969696969,5816.0,3963.0,1853.0
1,debian,11,11,direct_mutex,qwen2.5-72b,self_top3,10,9,3,0.3333333333333333,1.0,0.3333333333333333,0.6363636363636364,5547.0,3803.6666666666665,1743.3333333333333
1,debian,11,11,direct_mutex,qwen2.5-72b,oracle_risk_top3,10,9,3,0.3333333333333333,1.0,0.6666666666666666,0.42424242424242425,5687.333333333333,3804.0,1883.3333333333333
1,debian,11,11,direct_mutex,qwen2.5-72b,oracle_compression_top3,10,9,3,0.0,1.0,0.0,0.7272727272727272,5540.0,3803.6666666666665,1736.3333333333333
1,debian,11,11,direct_mutex,gemini-2.5-pro,self_top3,10,9,3,1.0,1.0,1.0,0.5454545454545454,10836.666666666666,4184.0,6652.666666666667
1,debian,11,11,direct_mutex,gemini-2.5-pro,oracle_risk_top3,10,9,3,1.0,1.0,1.0,0.5757575757575757,10607.0,4184.0,6423.0
1,debian,11,11,direct_mutex,gemini-2.5-pro,oracle_compression_top3,10,9,3,1.0,1.0,1.0,0.5757575757575757,10607.0,4184.0,6423.0
2,debian,11,11,handoff_invariant,gpt-4o,self_top3,10,10,3,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,5649.0,3816.0,1833.0
2,debian,11,11,handoff_invariant,gpt-4o,oracle_risk_top3,10,10,3,1.0,1.0,1.0,0.6060606060606061,5561.333333333333,3816.0,1745.3333333333333
2,debian,11,11,handoff_invariant,gpt-4o,oracle_compression_top3,10,10,3,0.0,1.0,0.0,0.7272727272727272,5629.0,3816.0,1813.0
2,debian,11,11,handoff_invariant,deepseek-v3,self_top3,10,10,3,1.0,1.0,1.0,0.6666666666666666,5876.666666666667,3976.0,1900.6666666666667
2,debian,11,11,handoff_invariant,deepseek-v3,oracle_risk_top3,10,10,3,1.0,1.0,1.0,0.7272727272727272,6033.666666666667,3984.0,2049.6666666666665
2,debian,11,11,handoff_invariant,deepseek-v3,oracle_compression_top3,10,10,3,1.0,1.0,0.6666666666666666,0.7575757575757575,5999.666666666667,3984.0,2015.6666666666667
2,debian,11,11,handoff_invariant,qwen2.5-72b,self_top3,10,9,3,0.0,1.0,0.0,0.6060606060606061,5603.0,3821.3333333333335,1781.6666666666667
2,debian,11,11,handoff_invariant,qwen2.5-72b,oracle_risk_top3,10,9,3,0.0,1.0,0.3333333333333333,0.4545454545454546,5753.333333333333,3821.3333333333335,1932.0
2,debian,11,11,handoff_invariant,qwen2.5-72b,oracle_compression_top3,10,9,3,0.0,1.0,0.0,0.6666666666666666,5555.333333333333,3821.3333333333335,1734.0
2,debian,11,11,handoff_invariant,gemini-2.5-pro,self_top3,10,9,3,1.0,1.0,1.0,0.5454545454545454,11924.666666666666,4203.0,7721.666666666667
2,debian,11,11,handoff_invariant,gemini-2.5-pro,oracle_risk_top3,10,9,3,1.0,1.0,1.0,0.6060606060606061,11149.666666666666,4203.0,6946.666666666667
2,debian,11,11,handoff_invariant,gemini-2.5-pro,oracle_compression_top3,10,9,3,1.0,1.0,1.0,0.6060606060606061,11149.666666666666,4203.0,6946.666666666667
3,debian,11,11,temporal_gate,gpt-4o,self_top3,10,10,3,0.0,1.0,0.0,0.6363636363636364,5597.333333333333,3823.0,1774.3333333333333
3,debian,11,11,temporal_gate,gpt-4o,oracle_risk_top3,10,10,3,0.0,1.0,0.0,0.7272727272727272,5616.666666666667,3823.0,1793.6666666666667
3,debian,11,11,temporal_gate,gpt-4o,oracle_compression_top3,10,10,3,0.0,1.0,0.0,0.7272727272727272,5616.666666666667,3823.0,1793.6666666666667
3,debian,11,11,temporal_gate,deepseek-v3,self_top3,10,10,3,0.0,1.0,1.0,0.6363636363636364,5915.0,3983.0,1932.0
3,debian,11,11,temporal_gate,deepseek-v3,oracle_risk_top3,10,10,3,0.3333333333333333,1.0,1.0,0.6060606060606061,5968.0,3983.0,1985.0
3,debian,11,11,temporal_gate,deepseek-v3,oracle_compression_top3,10,10,3,0.0,1.0,0.3333333333333333,0.6969696969696969,5928.0,3983.0,1945.0
3,debian,11,11,temporal_gate,qwen2.5-72b,self_top3,10,9,3,0.0,1.0,0.0,0.6969696969696969,5451.0,3828.0,1623.0
3,debian,11,11,temporal_gate,qwen2.5-72b,oracle_risk_top3,10,9,3,0.0,1.0,0.6666666666666666,0.24242424242424243,5980.666666666667,3828.0,2152.6666666666665
3,debian,11,11,temporal_gate,qwen2.5-72b,oracle_compression_top3,10,9,3,0.0,1.0,0.0,0.6969696969696969,5444.0,3828.0,1616.0
3,debian,11,11,temporal_gate,gemini-2.5-pro,self_top3,10,10,3,0.6666666666666666,1.0,0.6666666666666666,0.5757575757575757,11810.0,4209.0,7601.0
3,debian,11,11,temporal_gate,gemini-2.5-pro,oracle_risk_top3,10,10,3,1.0,1.0,1.0,0.5454545454545454,12126.0,4209.0,7917.0
3,debian,11,11,temporal_gate,gemini-2.5-pro,oracle_compression_top3,10,10,3,0.0,1.0,0.0,0.6666666666666666,11407.0,4209.0,7198.0
4,debian,11,11,condition_trigger,gpt-4o,self_top3,10,10,3,0.0,1.0,0.3333333333333333,0.6363636363636364,5650.333333333333,3809.0,1841.3333333333333
4,debian,11,11,condition_trigger,gpt-4o,oracle_risk_top3,10,10,3,0.0,1.0,0.3333333333333333,0.6969696969696969,5556.0,3809.0,1747.0
4,debian,11,11,condition_trigger,gpt-4o,oracle_compression_top3,10,10,3,0.0,1.0,0.0,0.7272727272727272,5559.0,3809.0,1750.0
4,debian,11,11,condition_trigger,deepseek-v3,self_top3,10,9,3,0.6666666666666666,1.0,0.6666666666666666,0.6363636363636364,5916.0,3969.0,1947.0
4,debian,11,11,condition_trigger,deepseek-v3,oracle_risk_top3,10,9,3,1.0,1.0,1.0,0.6363636363636364,5883.333333333333,3969.0,1914.3333333333333
4,debian,11,11,condition_trigger,deepseek-v3,oracle_compression_top3,10,9,3,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,5870.666666666667,3969.0,1901.6666666666667
4,debian,11,11,condition_trigger,qwen2.5-72b,self_top3,10,10,3,0.0,1.0,0.0,0.5757575757575757,5658.0,3814.3333333333335,1843.6666666666667
