case_id,domain,domain_label,scc_id,scc_size,model,template,template_label,severity,root_node,root_label,witness_node,witness_label,affected_nodes,sa_core_nodes,naive_subgraph_nodes,context_nodes,oc_nodes,sa_root_at_3,sa_risk_any,sa_risk_all,sa_compression,naive_error,naive_root_at_3,naive_risk_any,naive_risk_all,naive_compression,label_is_structural_conflict,label_relevant_risk_nodes,label_core_is_sufficient_for_repair,label_comments
candidate_001_debian_12_deepseek-v3_condition_trigger,debian,Debian packages,scc_8,12,deepseek-v3,condition_trigger,Condition trigger,critical,libecore-x1,libecore-x1,libecore-input1,libecore-input1,libevas1-engines-fb;libevas1,libecore-evas1;libecore-input1;libecore-x1;libevas1-engines-fb;libevas1-engines-wayland;libevas1-engines-x,libecore-evas1;libevas1;libevas1-engines-wayland;libecore-input1;libecore-drm2-1;libelput1;libevas1-engines-drm,libecore-evas1;libecore-input1;libecore-x1;libevas1-engines-fb;libevas1-engines-wayland;libevas1-engines-x,libecore-x1,True,True,True,0.5,,False,True,False,0.41666666666666663,,,,
candidate_002_debian_12_deepseek-v3_direct_mutex,debian,Debian packages,scc_8,12,deepseek-v3,direct_mutex,Direct mutual exclusion,critical,libecore-x1,libecore-x1,libecore-input1,libecore-input1,libevas1-engines-fb;libevas1,libecore-evas1;libecore-input1;libevas1;libecore-x1;libevas1-engines-wayland;libevas1-engines-x,libecore-input1;libecore-x1;libecore-evas1;libevas1-engines-wayland,libecore-evas1;libecore-input1;libevas1;libecore-x1;libevas1-engines-wayland;libevas1-engines-x,libecore-input1;libecore-x1,True,True,True,0.5,,True,True,True,0.6666666666666667,,,,
candidate_003_debian_12_deepseek-v3_handoff_invariant,debian,Debian packages,scc_8,12,deepseek-v3,handoff_invariant,Handoff invariant,critical,libecore-x1,libecore-x1,libecore-input1,libecore-input1,libevas1-engines-fb;libevas1,libecore-input1;libevas1;libevas1-engines-drm;libecore-x1;libevas1-engines-fb;libevas1-engines-x,libecore-x1;libecore-input1;libecore-evas1,libecore-input1;libevas1;libevas1-engines-drm;libecore-x1;libevas1-engines-fb;libevas1-engines-x,libecore-input1;libecore-x1,True,True,True,0.5,,True,True,True,0.75,,,,
candidate_004_debian_12_deepseek-v3_temporal_gate,debian,Debian packages,scc_8,12,deepseek-v3,temporal_gate,Temporal gate,critical,libecore-x1,libecore-x1,libecore-input1,libecore-input1,libevas1-engines-fb;libevas1,libecore-evas1;libecore-input1;libevas1;libecore-x1;libevas1-engines-fb;libevas1-engines-wayland,libecore-evas1;libevas1-engines-wayland;libevas1,libecore-evas1;libecore-input1;libevas1;libecore-x1;libevas1-engines-fb;libevas1-engines-wayland,,True,True,True,0.5,,False,False,False,0.75,,,,
candidate_005_debian_11_gemini-2.5-pro_temporal_gate,debian,Debian packages,scc_23,11,gemini-2.5-pro,temporal_gate,Temporal gate,critical,node-parse-json,node-parse-json,node-deep-equal,node-deep-equal,node-read-pkg;node-debbundle-es-to-primitive,node-deep-equal;node-es-abstract;node-istanbul;node-read-pkg;node-tape,node-deep-equal;node-tape;node-parse-json;node-es-abstract;node-debbundle-es-to-primitive;node-istanbul;node-read-pkg,node-deep-equal;node-es-abstract;node-istanbul;node-read-pkg;node-tape,node-deep-equal;node-es-abstract,False,True,False,0.5454545454545454,,False,True,True,0.36363636363636365,,,,
candidate_006_debian_11_qwen2.5-72b_condition_trigger,debian,Debian packages,scc_23,11,qwen2.5-72b,condition_trigger,Condition trigger,critical,node-parse-json,node-parse-json,node-deep-equal,node-deep-equal,node-read-pkg;node-debbundle-es-to-primitive,libjs-util;node-debbundle-es-to-primitive;node-deep-equal;node-es-abstract;node-util,node-deep-equal;node-debbundle-es-to-primitive;node-es-abstract;node-tape,libjs-util;node-debbundle-es-to-primitive;node-deep-equal;node-es-abstract;node-util,node-es-abstract,False,True,False,0.5454545454545454,,False,True,False,0.6363636363636364,,,,
candidate_007_debian_11_qwen2.5-72b_direct_mutex,debian,Debian packages,scc_23,11,qwen2.5-72b,direct_mutex,Direct mutual exclusion,critical,node-parse-json,node-parse-json,node-deep-equal,node-deep-equal,node-read-pkg;node-debbundle-es-to-primitive,libjs-util;node-debbundle-es-to-primitive;node-deep-equal;node-es-abstract;node-util,node-deep-equal;node-debbundle-es-to-primitive;node-es-abstract;node-tape;node-assert,libjs-util;node-debbundle-es-to-primitive;node-deep-equal;node-es-abstract;node-util,node-deep-equal,False,True,False,0.5454545454545454,,False,True,False,0.5454545454545454,,,,
candidate_008_debian_11_qwen2.5-72b_temporal_gate,debian,Debian packages,scc_23,11,qwen2.5-72b,temporal_gate,Temporal gate,critical,node-parse-json,node-parse-json,node-deep-equal,node-deep-equal,node-read-pkg;node-debbundle-es-to-primitive,node-debbundle-es-to-primitive;node-deep-equal;node-es-abstract;node-istanbul;node-tape,node-deep-equal;node-debbundle-es-to-primitive;node-es-abstract,node-debbundle-es-to-primitive;node-deep-equal;node-es-abstract;node-istanbul;node-tape,node-es-abstract,False,True,False,0.5454545454545454,,False,True,False,0.7272727272727273,,,,
candidate_009_sec_ex21_18_gemini-2.5-pro_direct_mutex,sec_ex21,SEC EX-21 subsidiaries,scc_3,18,gemini-2.5-pro,direct_mutex,Direct mutual exclusion,critical,us-cw-841126,Entergy Louisiana Holdings LLC,us-cw-118216,ENTERGY LOUISIANA HOLDINGS INC,us-cw-1001720;us-cw-1280,us-cw-1180;us-cw-118216;us-cw-1196;us-cw-1280;us-cw-130;us-cw-2080;us-cw-3379182;us-cw-822,us-cw-118216;us-cw-841126;us-cw-42654;us-cw-1180,us-cw-1180;us-cw-118216;us-cw-1196;us-cw-1280;us-cw-130;us-cw-2080;us-cw-3379182;us-cw-59234;us-cw-822,us-cw-118216,False,True,False,0.5555555555555556,,True,True,True,0.7777777777777778,,,,
candidate_010_sec_ex21_18_qwen2.5-72b_handoff_invariant,sec_ex21,SEC EX-21 subsidiaries,scc_6,18,qwen2.5-72b,handoff_invariant,Handoff invariant,critical,us-cw-841126,Entergy Louisiana Holdings LLC,us-cw-118216,ENTERGY LOUISIANA HOLDINGS INC,us-cw-1001720;us-cw-1280,us-cw-1180;us-cw-118216;us-cw-1196;us-cw-1280;us-cw-130;us-cw-2080;us-cw-42654;us-cw-59234;us-cw-822,us-cw-1180;us-cw-118216;us-cw-1196,us-cw-1180;us-cw-118216;us-cw-1196;us-cw-1280;us-cw-130;us-cw-2080;us-cw-42654;us-cw-59234;us-cw-822,us-cw-118216;us-cw-1196,True,True,False,0.5,,False,True,False,0.8333333333333334,,,,
