domain,scc_id,scc_size,model,template,full_error,lite_error,full_root_at_3,lite_root_at_3,full_risk_any,lite_risk_any,full_risk_all,lite_risk_all,full_compression,lite_compression,full_subgraph_size,lite_subgraph_size,full_prompt_words,lite_prompt_words,full_time_sec,lite_time_sec
cuad,scc_21,24,gpt-4o,direct_mutex,False,False,False,False,False,False,False,False,0.8333333333333334,0.7916666666666666,4,5,7013,6895,26.463788986206055,56.22425103187561
cuad,scc_21,24,qwen2.5-72b,direct_mutex,True,False,,True,,True,,False,,0.7916666666666666,,5,,6895,,856.2144830226898
cuad,scc_21,24,gpt-4o,handoff_invariant,True,False,,False,,False,,False,,0.7916666666666666,,5,,6922,,49.15215015411377
cuad,scc_21,24,qwen2.5-72b,handoff_invariant,True,False,,False,,False,,False,,0.7916666666666666,,5,,6922,,1144.0849809646606
cuad,scc_21,24,gpt-4o,temporal_gate,False,False,True,False,True,False,False,False,0.875,0.7083333333333333,3,7,7043,6925,25.91309380531311,66.44163918495178
cuad,scc_21,24,qwen2.5-72b,temporal_gate,True,False,,True,,True,,False,,0.7916666666666666,,5,,6925,,293.9748270511627
cuad,scc_21,24,gpt-4o,condition_trigger,True,False,,False,,False,,False,,0.7916666666666666,,5,,6936,,58.289560079574585
cuad,scc_21,24,qwen2.5-72b,condition_trigger,True,False,,True,,True,,True,,0.7916666666666666,,5,,6936,,306.2864978313446
cuad,scc_17,25,gpt-4o,direct_mutex,True,False,,False,,True,,False,,0.88,,3,,20773,,62.10746383666992
cuad,scc_17,25,qwen2.5-72b,direct_mutex,True,True,,,,,,,,,,,,,,
cuad,scc_17,25,gpt-4o,handoff_invariant,True,False,,True,,True,,True,,0.8,,5,,20800,,58.40882897377014
cuad,scc_17,25,qwen2.5-72b,handoff_invariant,True,False,,False,,False,,False,,0.8,,5,,20800,,704.9736170768738
cuad,scc_17,25,gpt-4o,temporal_gate,True,False,,True,,True,,True,,0.88,,3,,20803,,68.76878309249878
cuad,scc_17,25,qwen2.5-72b,temporal_gate,True,True,,,,,,,,,,,,,,
cuad,scc_17,25,gpt-4o,condition_trigger,True,False,,True,,True,,True,,0.88,,3,,20814,,70.43039774894714
cuad,scc_17,25,qwen2.5-72b,condition_trigger,True,True,,,,,,,,,,,,,,
cuad,scc_39,28,gpt-4o,direct_mutex,True,False,,False,,True,,False,,0.8928571428571429,,3,,11143,,62.81123495101929
cuad,scc_39,28,qwen2.5-72b,direct_mutex,True,True,,,,,,,,,,,,,,
cuad,scc_39,28,gpt-4o,handoff_invariant,False,False,False,False,True,True,False,False,0.7857142857142857,0.8928571428571429,6,3,11288,11170,57.6898889541626,62.35405111312866
cuad,scc_39,28,qwen2.5-72b,handoff_invariant,True,True,,,,,,,,,,,,,,
cuad,scc_39,28,gpt-4o,temporal_gate,True,False,,False,,True,,False,,0.8928571428571429,,3,,11173,,72.16388320922852
cuad,scc_39,28,qwen2.5-72b,temporal_gate,True,False,,False,,True,,False,,0.8214285714285714,,5,,11173,,1350.8127439022064
cuad,scc_39,28,gpt-4o,condition_trigger,True,False,,False,,True,,False,,0.8928571428571429,,3,,11184,,63.482850074768066
cuad,scc_39,28,qwen2.5-72b,condition_trigger,True,True,,,,,,,,,,,,,,
cuad,scc_11,34,gpt-4o,direct_mutex,True,False,,False,,True,,False,,0.8529411764705882,,5,,17072,,53.37497019767761
cuad,scc_11,34,qwen2.5-72b,direct_mutex,True,True,,,,,,,,,,,,,,
cuad,scc_11,34,gpt-4o,handoff_invariant,True,False,,False,,False,,False,,0.8529411764705882,,5,,17099,,71.60303592681885
cuad,scc_11,34,qwen2.5-72b,handoff_invariant,True,False,,False,,True,,False,,0.8529411764705882,,5,,17099,,1366.0827922821045
cuad,scc_11,34,gpt-4o,temporal_gate,False,False,True,True,True,True,False,False,0.8529411764705882,0.8529411764705882,5,5,17220,17102,75.2567310333252,54.93274688720703
cuad,scc_11,34,qwen2.5-72b,temporal_gate,True,True,,,,,,,,,,,,,,
cuad,scc_11,34,gpt-4o,condition_trigger,True,False,,False,,False,,False,,0.8529411764705882,,5,,17113,,76.89786911010742
cuad,scc_11,34,qwen2.5-72b,condition_trigger,True,False,,False,,False,,False,,0.8529411764705882,,5,,17113,,1188.6462080478668
