model,budget,n_trace,risk_any,risk_all,risk_coverage,valuable_coverage,compression,effective_oc_discovered
ALL,5,320,0.678125,0.21875,0.4484375,0.35078125,0.7495984987745098,0.0
ALL,10,320,0.753125,0.25625,0.5046875,0.384375,0.7359722978206433,0.05625
ALL,20,320,0.803125,0.325,0.5640625,0.371875,0.7771444957717936,0.590625
ALL,30,320,0.840625,0.409375,0.625,0.4078125,0.7658907907860113,0.690625
ALL,60,320,0.9,0.575,0.7375,0.46484375,0.7537493773077413,0.821875
gpt-4o,5,80,0.625,0.1625,0.39375,0.334375,0.719879854214413,0.0
gpt-4o,10,80,0.75,0.2375,0.49375,0.4,0.7286500058356676,0.075
gpt-4o,20,80,0.7875,0.2625,0.525,0.378125,0.7661761708471267,0.6125
gpt-4o,30,80,0.8875,0.3875,0.6375,0.415625,0.7485073953823954,0.7125
gpt-4o,60,80,0.9375,0.525,0.73125,0.46875,0.7399918565911213,0.8625
deepseek-v3,5,80,0.65,0.2,0.425,0.353125,0.7537689738774298,0.0
deepseek-v3,10,80,0.7,0.2625,0.48125,0.359375,0.7525481893514983,0.1
deepseek-v3,20,80,0.775,0.35,0.5625,0.36875,0.7728420974450386,0.55
deepseek-v3,30,80,0.8,0.425,0.6125,0.41875,0.7568571985612427,0.6625
deepseek-v3,60,80,0.875,0.575,0.725,0.484375,0.7448509888804007,0.825
qwen2.5-72b,5,80,0.75,0.3,0.525,0.4125,0.7197749448264154,0.0
qwen2.5-72b,10,80,0.7375,0.225,0.48125,0.378125,0.711583094601477,0.0125
qwen2.5-72b,20,80,0.7875,0.3125,0.55,0.365625,0.7677573078473814,0.5375
qwen2.5-72b,30,80,0.825,0.35,0.5875,0.396875,0.7529017034844241,0.6375
qwen2.5-72b,60,80,0.875,0.5375,0.70625,0.45,0.7433244206773619,0.775
gemini-2.5-pro,5,80,0.6875,0.2125,0.45,0.303125,0.804970222179781,0.0
gemini-2.5-pro,10,80,0.825,0.3,0.5625,0.4,0.7511079014939309,0.0375
gemini-2.5-pro,20,80,0.8625,0.375,0.61875,0.375,0.8018024069476276,0.6625
gemini-2.5-pro,30,80,0.85,0.475,0.6625,0.4,0.8052968657159834,0.75
gemini-2.5-pro,60,80,0.9125,0.6625,0.7875,0.45625,0.7868302430820814,0.825
