scc_size,method,n,root_at_3,risk_any,risk_all,compression
9,oracle-risk Naive,32,68%,92%,62%,53%
9,sa-mcgs,32,88%,97%,72%,44%
10,oracle-risk Naive,16,83%,100%,96%,52%
10,sa-mcgs,16,88%,100%,56%,50%
11,oracle-risk Naive,48,65%,100%,79%,59%
11,sa-mcgs,48,79%,100%,81%,55%
12,oracle-risk Naive,48,74%,92%,84%,60%
12,sa-mcgs,48,100%,100%,100%,51%
14,oracle-risk Naive,16,52%,75%,52%,57%
14,sa-mcgs,16,88%,100%,88%,50%
16,oracle-risk Naive,16,38%,38%,38%,61%
16,sa-mcgs,16,100%,100%,100%,50%
17,oracle-risk Naive,16,50%,71%,33%,62%
17,sa-mcgs,16,38%,100%,69%,53%
18,oracle-risk Naive,32,51%,84%,55%,70%
18,sa-mcgs,32,91%,100%,88%,51%
20,oracle-risk Naive,16,50%,52%,50%,61%
20,sa-mcgs,16,56%,94%,50%,55%
24,oracle-risk Naive,16,57%,57%,50%,63%
24,sa-mcgs,16,69%,75%,44%,56%
25,oracle-risk Naive,32,44%,75%,51%,67%
25,sa-mcgs,32,84%,100%,78%,56%
28,oracle-risk Naive,16,50%,69%,50%,60%
28,sa-mcgs,16,25%,94%,31%,58%
34,oracle-risk Naive,16,48%,50%,48%,45%
34,sa-mcgs,16,94%,94%,94%,64%
